iterations,fitness,time,fevals
0,30.0,0.000269714,547
10,29.0,0.000743266000001,1005
20,32.0,0.001139076,1454
30,29.0,0.001465221,1898
40,30.0,0.001759576,2340
50,29.0,0.002045282,2804
60,28.0,0.002313622,3267
70,29.0,0.002571059,3714
80,29.0,0.002834422,4184
90,30.0,0.003107896,4643
100,30.0,0.003328542,5091
110,31.0,0.003547604,5547
120,30.0,0.00388136,5996
130,34.0,0.004111175,6445
140,34.0,0.00433646500001,6892
150,34.0,0.004563705,7344
160,34.0,0.004771654,7813
170,33.0,0.004982642,8279
180,32.0,0.005217016,8726
190,31.0,0.00543081100001,9195
200,34.0,0.00564399500001,9656
210,32.0,0.00590266800001,10118
220,30.0,0.00612339400001,10575
230,29.0,0.00634595900001,11035
240,31.0,0.00656255200001,11489
250,30.0,0.00683093900001,11955
260,30.0,0.00707449100001,12405
270,30.0,0.00735705,12848
280,30.0,0.007628526,13306
290,32.0,0.00785921900001,13755
300,31.0,0.008091047,14214
310,30.0,0.008392617,14669
320,33.0,0.008626325,15132
330,30.0,0.008870817,15585
340,31.0,0.009101085,16031
350,30.0,0.009380013,16484
360,29.0,0.009670482,16930
370,29.0,0.010155143,17390
380,29.0,0.010648289,17842
390,29.0,0.011046814,18304
400,32.0,0.011358879,18766
410,31.0,0.011644079,19222
420,30.0,0.011899639,19689
430,30.0,0.012158161,20151
440,29.0,0.012410553,20604
450,30.0,0.01263878,21054
460,31.0,0.012873288,21509
470,32.0,0.013231897,21960
480,32.0,0.01346118,22423
490,32.0,0.013693214,22897
500,32.0,0.013912935,23350
510,29.0,0.014153628,23812
520,29.0,0.014388123,24263
530,28.0,0.014619847,24712
540,30.0,0.014838128,25161
550,31.0,0.015062606,25601
560,32.0,0.015284713,26044
570,32.0,0.015495678,26506
580,33.0,0.015706037,26955
590,32.0,0.015911623,27409
600,32.0,0.016120937,27863
610,32.0,0.01632905,28324
620,31.0,0.016535865,28766
630,34.0,0.016747201,29217
640,31.0,0.01696035,29681
650,33.0,0.017166962,30119
660,33.0,0.017384596,30578
670,31.0,0.017597654,31035
680,31.0,0.017848664,31487
690,31.0,0.018146728,31941
700,30.0,0.018385983,32392
710,29.0,0.01861332,32835
720,32.0,0.018828358,33287
730,31.0,0.019045474,33749
740,32.0,0.019258851,34209
750,30.0,0.019476377,34674
760,30.0,0.019690982,35128
770,30.0,0.019913428,35573
780,31.0,0.020136222,36027
790,30.0,0.0203546,36481
800,32.0,0.020573381,36935
810,32.0,0.020791297,37390
820,33.0,0.02102814,37838
830,33.0,0.02126556,38294
840,32.0,0.021504312,38752
850,33.0,0.021772069,39209
860,32.0,0.022059235,39656
870,33.0,0.022343549,40112
880,30.0,0.022632826,40579
890,30.0,0.022881802,41037
900,33.0,0.0231199,41481
910,32.0,0.02334622,41935
920,32.0,0.023576757,42393
930,30.0,0.023794459,42845
940,30.0,0.024012284,43310
950,31.0,0.024226819,43762
960,32.0,0.024444788,44208
970,32.0,0.024670839,44668
980,31.0,0.024912107,45127
990,30.0,0.025138992,45568
1000,31.0,0.025367528,46012
1010,30.0,0.025585891,46463
1020,29.0,0.025804687,46920
1030,29.0,0.026030531,47366
1040,30.0,0.026250865,47814
1050,30.0,0.026471833,48266
1060,31.0,0.026692595,48731
1070,30.0,0.026924897,49187
1080,30.0,0.027142998,49631
1090,31.0,0.027356354,50076
1100,30.0,0.027574817,50520
1110,35.0,0.027786202,50974
1120,30.0,0.028000653,51420
1130,32.0,0.028216856,51886
1140,31.0,0.028440187,52359
1150,34.0,0.028656483,52816
1160,32.0,0.028901149,53258
1170,31.0,0.029126207,53715
1180,33.0,0.02935215,54178
1190,30.0,0.029578286,54628
1200,29.0,0.029862083,55082
1210,29.0,0.030134622,55534
1220,31.0,0.030478107,55987
1230,32.0,0.030875469,56433
1240,31.0,0.03121315,56895
1250,31.0,0.031566619,57357
1260,32.0,0.031890813,57806
1270,32.0,0.032178381,58266
1280,31.0,0.032483916,58727
1290,31.0,0.03277972,59170
1300,32.0,0.03302695,59623
1310,32.0,0.03323609,60094
1320,32.0,0.033438268,60549
1330,31.0,0.033650832,61000
1340,33.0,0.03385929,61447
1350,31.0,0.034086128,61899
1360,31.0,0.034297041,62353
1370,29.0,0.03451412,62817
1380,31.0,0.034763476,63260
1390,30.0,0.034977493,63725
1400,29.0,0.035184508,64160
1410,31.0,0.035422753,64627
1420,31.0,0.035677876,65096
1430,29.0,0.035918019,65541
1440,30.0,0.036168049,65997
1450,34.0,0.036431666,66462
1460,30.0,0.036684824,66912
1470,31.0,0.036960234,67375
1480,31.0,0.037249802,67833
1490,30.0,0.037478946,68283
1500,31.0,0.037701694,68744
1510,31.0,0.037914679,69207
1520,33.0,0.038124889,69653
1530,33.0,0.038341272,70116
1540,33.0,0.038550257,70560
1550,33.0,0.038762602,71018
1560,35.0,0.038980571,71501
1570,33.0,0.039202532,71949
1580,33.0,0.039425363,72417
1590,34.0,0.03974389,72867
1600,35.0,0.040020276,73319
1610,34.0,0.040464126,73761
1620,34.0,0.0408475,74218
1630,34.0,0.041184312,74674
1640,34.0,0.041571537,75134
1650,34.0,0.04186126,75601
1660,35.0,0.042122866,76062
1670,36.0,0.04239751,76529
1680,35.0,0.042697369,76978
1690,35.0,0.042961996,77435
1700,34.0,0.043186759,77904
1710,34.0,0.043386056,78357
1720,34.0,0.04364213,78807
1730,34.0,0.043850497,79268
1740,35.0,0.044060888,79730
1750,36.0,0.044262295,80190
1760,35.0,0.044458953,80662
1770,35.0,0.044656473,81126
1780,36.0,0.044857227,81585
1790,35.0,0.045055642,82040
1800,34.0,0.045260422,82486
1810,31.0,0.045490186,82935
1820,31.0,0.045713957,83404
1830,32.0,0.045949237,83842
1840,31.0,0.04616994,84299
1850,32.0,0.046384608,84781
1860,30.0,0.046600264,85251
1870,30.0,0.04681601,85706
1880,33.0,0.047031913,86163
1890,32.0,0.047269039,86622
1900,31.0,0.04748898,87069
1910,33.0,0.047711312,87521
1920,32.0,0.047930129,87973
1930,32.0,0.048149064,88424
1940,32.0,0.048367535,88877
1950,32.0,0.048589682,89347
1960,35.0,0.048823829,89799
1970,32.0,0.049060343,90253
1980,32.0,0.049338858,90708
1990,32.0,0.049615049,91150
2000,34.0,0.049945037,91608
2010,32.0,0.050233411,92063
2020,32.0,0.0505559,92525
2030,31.0,0.050835153,92985
2040,33.0,0.05120563,93441
2050,33.0,0.051549896,93905
2060,34.0,0.051899303,94364
2070,33.0,0.052290959,94824
2080,31.0,0.052586412,95289
2090,32.0,0.052865616,95754
2100,32.0,0.053123777,96224
2110,33.0,0.053374922,96678
2120,33.0,0.053637975,97132
2130,35.0,0.053858421,97590
2140,32.0,0.054068434,98040
2150,33.0,0.054279883,98499
2160,33.0,0.054489845,98961
2170,32.0,0.054702399,99431
2180,31.0,0.054916489,99899
2190,30.0,0.055133085,100351
2200,30.0,0.055346284,100813
2210,31.0,0.055555816,101268
2220,30.0,0.055765546,101717
2230,31.0,0.05603374,102166
2240,33.0,0.056264654,102623
2250,32.0,0.056479953,103076
2260,31.0,0.056710771,103542
2270,31.0,0.056934907,103997
2280,33.0,0.057162361,104456
2290,34.0,0.057379481,104902
2300,31.0,0.057590281,105352
2310,30.0,0.057827282,105800
2320,30.0,0.058049673,106244
2330,30.0,0.058272628,106700
2340,32.0,0.058495433,107150
2350,32.0,0.058715615,107613
2360,33.0,0.058933528,108070
2370,34.0,0.059144977,108528
2380,33.0,0.059363254,108988
2390,33.0,0.059573057,109441
2400,33.0,0.059788069,109913
2410,33.0,0.060056842,110367
2420,35.0,0.060297882,110832
2430,30.0,0.060526159,111304
2440,32.0,0.060741578,111770
2450,32.0,0.060988531,112225
2460,30.0,0.061237468,112690
2470,31.0,0.061486604,113164
2480,32.0,0.061733685,113608
2490,32.0,0.061984235,114052
2500,32.0,0.062236797,114491
2510,32.0,0.062518318,114955
2520,32.0,0.062849957,115398
2530,32.0,0.063183382,115845
2540,32.0,0.063429494,116299
2550,29.0,0.063669699,116757
2560,29.0,0.063908548,117203
2570,31.0,0.064142356,117656
2580,33.0,0.06441699,118117
2590,30.0,0.064666491,118581
2600,31.0,0.064918315,119044
2610,34.0,0.065151485,119501
2620,33.0,0.065379335,119943
2630,32.0,0.065609809,120386
2640,34.0,0.065850295,120844
2650,33.0,0.066114216,121297
2660,33.0,0.066353888,121740
2670,33.0,0.066590925,122194
2680,33.0,0.066826069,122641
2690,33.0,0.067058756,123099
2700,33.0,0.067293519,123546
2710,34.0,0.067530891,124005
2720,34.0,0.067747025,124464
2730,34.0,0.067987179,124915
2740,35.0,0.068232069,125369
2750,35.0,0.068467006,125830
2760,35.0,0.068696561,126282
2770,35.0,0.068925973,126739
2780,35.0,0.069152699,127191
2790,34.0,0.06938478,127646
2800,33.0,0.069620924,128113
2810,33.0,0.069871363,128569
2820,33.0,0.070121091,129026
2830,34.0,0.07036386,129494
2840,34.0,0.070644351,129960
2850,34.0,0.070986021,130407
2860,30.0,0.071420166,130872
2870,31.0,0.07184719,131321
2880,31.0,0.072250705,131765
2890,31.0,0.072583273,132223
2900,31.0,0.07287034,132672
2910,31.0,0.073152079,133137
2920,30.0,0.073425277,133585
2930,30.0,0.073700987,134046
2940,30.0,0.073945177,134494
2950,28.0,0.07418314,134961
2960,28.0,0.074423182,135410
2970,30.0,0.074660318,135874
2980,30.0,0.074891912,136330
2990,31.0,0.075148191,136773
3000,31.0,0.075398838,137225
3010,30.0,0.075644596,137694
3020,31.0,0.075877936,138156
3030,30.0,0.076112941,138611
3040,31.0,0.0763514,139078
3050,31.0,0.076585352,139522
3060,31.0,0.076821709,139989
3070,32.0,0.077065753,140439
3080,32.0,0.077344762,140891
3090,32.0,0.077623504,141348
3100,31.0,0.077959354,141795
3110,30.0,0.078318026,142238
3120,34.0,0.078582653,142695
3130,31.0,0.078830105,143161
3140,31.0,0.079080856,143635
3150,31.0,0.079313012,144074
3160,31.0,0.079543708,144542
3170,33.0,0.07977715,144986
3180,32.0,0.080012544,145443
3190,32.0,0.080232018,145893
3200,32.0,0.080480989,146360
3210,34.0,0.08070367,146809
3220,34.0,0.080941418,147264
3230,33.0,0.08121311,147716
3240,32.0,0.081483879,148164
3250,31.0,0.081802961,148615
3260,30.0,0.082237528,149071
3270,31.0,0.082666198,149528
3280,32.0,0.083054028,149983
3290,31.0,0.083459137,150427
3300,31.0,0.083796022,150882
3310,32.0,0.084117712,151334
3320,33.0,0.084444545,151779
3330,33.0,0.0847006,152234
3340,30.0,0.084975995,152694
3350,29.0,0.085212992,153139
3360,29.0,0.085542857,153609
3370,29.0,0.08579822,154079
3380,31.0,0.086047478,154541
3390,31.0,0.086281182,154995
3400,32.0,0.086517848,155444
3410,33.0,0.086751291,155898
3420,33.0,0.086986095,156351
3430,33.0,0.087215399,156809
3440,32.0,0.087429888,157279
3450,34.0,0.087645362,157733
3460,32.0,0.087901826,158193
3470,33.0,0.088102313,158650
3480,33.0,0.088305532,159122
3490,32.0,0.08850719,159569
3500,35.0,0.08871194,160023
3510,35.0,0.088912668,160471
3520,35.0,0.089145799,160927
3530,35.0,0.089371277,161375
3540,36.0,0.089586181,161823
3550,34.0,0.08980948,162275
3560,30.0,0.090080738,162727
3570,32.0,0.090365232,163188
3580,32.0,0.090605715,163637
3590,32.0,0.090836155,164088
3600,33.0,0.091085781,164540
3610,33.0,0.091355979,165006
3620,34.0,0.091606864,165463
3630,36.0,0.091865712,165924
3640,34.0,0.092160357,166369
3650,33.0,0.09248727,166824
3660,33.0,0.092774867,167279
3670,33.0,0.093011611,167720
3680,32.0,0.093253187,168173
3690,32.0,0.093501701,168627
3700,31.0,0.09373146,169081
3710,31.0,0.09396154,169535
3720,32.0,0.094177005,169993
3730,32.0,0.094378611,170435
3740,31.0,0.094581868,170893
3750,32.0,0.094789708,171343
3760,32.0,0.095030473,171792
3770,31.0,0.095298974,172254
3780,31.0,0.095529012,172718
3790,32.0,0.095748219,173167
3800,31.0,0.095973147,173625
3810,32.0,0.096197449,174069
3820,32.0,0.096422925,174535
3830,32.0,0.096675219,174983
3840,32.0,0.096902493,175427
3850,32.0,0.097171145,175884
3860,31.0,0.097395596,176344
3870,32.0,0.097631473,176807
3880,29.0,0.097842036,177259
3890,30.0,0.098050807,177717
3900,32.0,0.098260833,178179
3910,34.0,0.098469584,178631
3920,33.0,0.098672466,179074
3930,30.0,0.098880895,179532
3940,31.0,0.09908722,179994
3950,31.0,0.099318273,180458
3960,35.0,0.09952769,180917
3970,32.0,0.099779008,181376
3980,32.0,0.100007378,181818
3990,31.0,0.100280383,182276
4000,30.0,0.100508641,182729
4010,32.0,0.100735237,183165
4020,33.0,0.100960357,183624
4030,33.0,0.101213376,184075
4040,33.0,0.101465108,184533
4050,32.0,0.101728742,185003
4060,31.0,0.101979961,185463
4070,32.0,0.102227093,185917
