iterations,fitness,time,fevals
0,30.0,0.00445240400001,1000
10,31.0,0.008242307,2100
20,31.0,0.011604651,3200
30,30.0,0.014943979,4300
40,30.0,0.018281852,5400
50,31.0,0.021317383,6500
60,30.0,0.024546614,7600
70,29.0,0.027851464,8700
80,30.0,0.031365987,9800
90,30.0,0.034541747,10900
100,30.0,0.038047523,12000
110,30.0,0.041353398,13100
120,30.0,0.044481444,14200
130,30.0,0.047783971,15300
140,29.0,0.051143854,16400
150,30.0,0.054594092,17500
160,32.0,0.058480352,18600
170,31.0,0.062135493,19700
180,30.0,0.065341152,20800
190,30.0,0.068435505,21900
200,31.0,0.071601962,23000
210,30.0,0.075341665,24100
220,30.0,0.078409606,25200
230,31.0,0.081501396,26300
240,31.0,0.084540883,27400
250,30.0,0.087779177,28500
260,31.0,0.090907737,29600
270,31.0,0.094068803,30700
280,31.0,0.097134817,31800
290,30.0,0.100304822,32900
300,31.0,0.103394328,34000
310,31.0,0.106269934,35100
320,30.0,0.109793756,36200
330,31.0,0.113322783,37300
340,31.0,0.116678131,38400
350,31.0,0.119967339,39500
360,31.0,0.123085797,40600
370,32.0,0.126163521,41700
380,30.0,0.12975818,42800
390,30.0,0.13306683,43900
400,30.0,0.136021781,45000
410,31.0,0.139033014,46100
420,30.0,0.141970463,47200
430,31.0,0.144922092,48300
440,30.0,0.14836943,49400
450,31.0,0.151438904,50500
460,30.0,0.154496466,51600
470,30.0,0.157384558,52700
480,30.0,0.160476197,53800
490,31.0,0.163551676,54900
500,30.0,0.16671416,56000
510,30.0,0.169726622,57100
520,30.0,0.172825941,58200
530,30.0,0.175817472,59300
540,30.0,0.178914643,60400
550,30.0,0.181912701,61500
560,30.0,0.185095457,62600
570,30.0,0.188096021,63700
580,31.0,0.191329056,64800
590,30.0,0.194356385,65900
600,31.0,0.197341538,67000
610,31.0,0.200287322,68100
620,30.0,0.203754076,69200
630,30.0,0.207168563,70300
640,31.0,0.210269387,71400
650,31.0,0.21349248,72500
660,30.0,0.216506804,73600
670,30.0,0.219429885,74700
680,30.0,0.222469712,75800
690,32.0,0.225566559,76900
700,31.0,0.228655967,78000
710,31.0,0.231664607,79100
720,31.0,0.234878335,80200
730,31.0,0.23817212,81300
740,31.0,0.241205785,82400
750,31.0,0.244344232,83500
760,31.0,0.247647495,84600
770,31.0,0.250863093,85700
780,31.0,0.254130119,86800
790,31.0,0.257371806,87900
800,31.0,0.260547545,89000
810,32.0,0.264240409,90100
820,31.0,0.267686784,91200
830,31.0,0.271242484,92300
840,31.0,0.274235134,93400
850,31.0,0.277361022,94500
860,31.0,0.280387199,95600
870,31.0,0.283328827,96700
880,31.0,0.286401315,97800
890,31.0,0.289606157,98900
900,32.0,0.29272465,100000
910,32.0,0.295898906,101100
920,31.0,0.29969666,102200
930,32.0,0.303025083,103300
940,31.0,0.306167649,104400
950,31.0,0.309866595,105500
960,31.0,0.313377883,106600
970,31.0,0.316478656,107700
980,31.0,0.319657715,108800
990,31.0,0.322673021,109900
1000,31.0,0.325655697,111000
1010,31.0,0.329172897,112100
1020,31.0,0.332878291,113200
1030,32.0,0.335815571,114300
1040,31.0,0.338924978,115400
1050,31.0,0.342179184,116500
1060,31.0,0.345636054,117600
1070,31.0,0.348921263,118700
1080,31.0,0.352140508,119800
1090,31.0,0.355346979,120900
1100,31.0,0.358693339,122000
1110,31.0,0.361810368,123100
1120,31.0,0.364847611,124200
1130,31.0,0.367954694,125300
1140,31.0,0.371164042,126400
1150,31.0,0.374577339,127500
1160,32.0,0.378013767,128600
1170,31.0,0.381303641,129700
1180,32.0,0.384563464,130800
1190,31.0,0.387725682,131900
1200,32.0,0.390858448,133000
1210,31.0,0.394060104,134100
1220,32.0,0.397150843,135200
1230,31.0,0.400194036,136300
1240,31.0,0.403163295,137400
1250,32.0,0.406548522,138500
1260,31.0,0.409840502,139600
1270,31.0,0.412887854,140700
1280,31.0,0.416088811,141800
1290,31.0,0.419330144,142900
1300,31.0,0.422296666,144000
1310,31.0,0.425507902,145100
1320,31.0,0.428553268,146200
1330,31.0,0.431651116,147300
1340,31.0,0.43491909,148400
1350,31.0,0.439846671,149500
1360,31.0,0.44347897,150600
1370,31.0,0.4464337,151700
1380,31.0,0.449658291,152800
1390,31.0,0.453333123,153900
1400,31.0,0.457371816,155000
1410,31.0,0.460609835,156100
1420,31.0,0.464728071,157200
1430,31.0,0.468314081,158300
1440,31.0,0.471259249,159400
1450,32.0,0.474392688,160500
