iterations,fitness,time,fevals
0,25.0,6.07899999983e-06,11
10,25.0,1.19639999998e-05,21
20,26.0,2.04249999998e-05,31
30,27.0,2.94319999998e-05,41
40,28.0,3.56079999997e-05,51
50,30.0,4.14409999996e-05,61
60,30.0,4.89479999997e-05,71
70,31.0,5.76439999997e-05,81
80,31.0,6.89309999997e-05,91
90,32.0,7.50979999997e-05,101
100,32.0,8.18559999998e-05,111
110,32.0,8.94769999997e-05,121
120,32.0,9.65189999997e-05,131
130,32.0,0.000103218,141
140,32.0,0.000111844,151
150,33.0,0.000120467,161
160,33.0,0.000129051999999,171
170,33.0,0.000137201999999,181
180,33.0,0.000145456,191
190,33.0,0.00015419,201
200,34.0,0.000162837,211
210,34.0,0.000171834,221
220,34.0,0.000179928,231
230,34.0,0.000189565,241
240,34.0,0.000197618,251
250,34.0,0.000205387,261
260,34.0,0.000213883,271
270,34.0,0.000223736,281
280,34.0,0.000231692,291
290,34.0,0.000240482,301
300,35.0,0.000247222,311
310,35.0,0.000252754,321
320,35.0,0.000258749,331
330,35.0,0.000264055,341
340,35.0,0.000270067,351
350,35.0,0.000275938,361
360,35.0,0.000281272,371
370,35.0,0.000287291,381
380,35.0,0.000292579,391
390,35.0,0.000297182,401
400,35.0,0.000305594,411
410,35.0,0.000311647,421
420,36.0,0.000317258,431
430,36.0,0.000323904,441
440,36.0,0.000331219,451
450,36.0,0.000337818,461
460,36.0,0.000343741,471
470,36.0,0.000348424,481
480,36.0,0.000354712,491
490,36.0,0.00036043,501
500,36.0,0.000366134,511
510,36.0,0.000371593,521
520,36.0,0.000378047,531
530,36.0,0.000383699,541
540,36.0,0.000388717,551
550,36.0,0.00039413,561
560,36.0,0.00039897,571
570,36.0,0.000404048,581
580,36.0,0.000409151,591
590,36.0,0.000414939,601
600,36.0,0.000420383,611
610,36.0,0.000425022,621
620,36.0,0.000430194,631
630,36.0,0.000435937,641
640,36.0,0.000442197,651
650,36.0,0.000446706,661
660,36.0,0.000452675,671
670,36.0,0.000457727,681
680,36.0,0.000463656,691
690,36.0,0.00046964,701
700,36.0,0.000474424,711
710,36.0,0.000479638,721
720,36.0,0.000484729,731
730,36.0,0.000490077,741
740,36.0,0.000495341,751
750,36.0,0.000501011,761
760,36.0,0.000506235,771
770,36.0,0.000512002999999,781
780,36.0,0.000517229999999,791
790,36.0,0.000522239999999,801
800,36.0,0.000527191999999,811
810,36.0,0.000533612999999,821
820,36.0,0.000539632999999,831
830,36.0,0.000545172999999,841
840,36.0,0.000551201999999,851
850,36.0,0.000556710999999,861
860,36.0,0.000562429999999,871
870,36.0,0.000568816999999,881
880,36.0,0.000574896999999,891
890,36.0,0.000579795999999,901
900,36.0,0.000585549999999,911
910,36.0,0.000591201999999,921
920,36.0,0.000596930999999,931
930,36.0,0.000602381999999,941
940,36.0,0.000607837999999,951
950,36.0,0.000613401999999,961
960,36.0,0.000618581999999,971
970,36.0,0.000623717999999,981
980,36.0,0.000629731999999,991
990,36.0,0.000635626999999,1001
1000,36.0,0.000641697999999,1011
1010,36.0,0.000647084999999,1021
1020,36.0,0.000652210999999,1031
1030,36.0,0.000657577999999,1041
1040,36.0,0.000663249999999,1051
1050,36.0,0.000668729999999,1061
1060,36.0,0.000673727999999,1071
1070,36.0,0.000681098999999,1081
1080,36.0,0.000686519999999,1091
1090,36.0,0.000691530999999,1101
1100,36.0,0.000696814999999,1111
1110,36.0,0.000703742999999,1121
1120,36.0,0.000710795999999,1131
1130,36.0,0.000717638999999,1141
1140,36.0,0.000724526999999,1151
1150,36.0,0.000734493999999,1161
1160,36.0,0.000740025999999,1171
1170,36.0,0.000749009999999,1181
1180,36.0,0.000758125999999,1191
1190,36.0,0.000766825999999,1201
1200,36.0,0.000776834999999,1211
1210,36.0,0.000785192999999,1221
1220,36.0,0.000792751999999,1231
1230,36.0,0.000810267999999,1241
1240,36.0,0.000820602999999,1251
1250,36.0,0.000829730999999,1261
1260,36.0,0.000843069999999,1271
1270,36.0,0.000857101999999,1281
1280,36.0,0.000867724999999,1291
1290,36.0,0.000880518999999,1301
1300,36.0,0.000892367999999,1311
1310,36.0,0.000906314999999,1321
1320,36.0,0.000916529999999,1331
1330,36.0,0.000929156999999,1341
1340,36.0,0.000940168999999,1351
1350,36.0,0.000949242999999,1361
1360,36.0,0.000960436999999,1371
1370,36.0,0.000971483999999,1381
1380,36.0,0.000982579999999,1391
1390,36.0,0.000993604,1401
1400,36.0,0.001003505,1411
1410,36.0,0.001013295,1421
1420,36.0,0.001026426,1431
1430,36.0,0.001039608,1441
1440,36.0,0.001050231,1451
1450,36.0,0.001060732,1461
1460,36.0,0.001074908,1471
1470,36.0,0.001088949,1481
1480,36.0,0.001098614,1491
1490,36.0,0.001111877,1501
1500,36.0,0.001123906,1511
1510,36.0,0.001133241,1521
1520,36.0,0.001143352,1531
1530,36.0,0.001153993,1541
1540,36.0,0.001161529,1551
1550,36.0,0.0011722,1561
1560,36.0,0.001179401,1571
1570,36.0,0.001187268,1581
1580,36.0,0.001198598,1591
1590,36.0,0.001208872,1601
1600,36.0,0.001217393,1611
1610,36.0,0.001224269,1621
1620,36.0,0.001231245,1631
1630,36.0,0.001241412,1641
1640,36.0,0.001250825,1651
1650,36.0,0.001259261,1661
1660,36.0,0.001268514,1671
1670,36.0,0.001277,1681
1680,36.0,0.001285983,1691
1690,36.0,0.001293286,1701
1700,36.0,0.001303141,1711
1710,36.0,0.001313106,1721
1720,36.0,0.0013221,1731
1730,36.0,0.001331913,1741
1740,36.0,0.001340264,1751
1750,36.0,0.001348266,1761
1760,36.0,0.00135676,1771
1770,36.0,0.001363098,1781
1780,36.0,0.001373192,1791
1790,36.0,0.001383017,1801
1800,36.0,0.001390448,1811
1810,36.0,0.001400233,1821
1820,36.0,0.001411792,1831
1830,36.0,0.001421035,1841
1840,36.0,0.00143081,1851
1850,36.0,0.001442022,1861
1860,36.0,0.00145077,1871
1870,36.0,0.001460297,1881
1880,36.0,0.001468884,1891
1890,36.0,0.001478316,1901
1900,36.0,0.001486776,1911
1910,36.0,0.001496167,1921
1920,36.0,0.001505611,1931
1930,36.0,0.001516612,1941
1940,36.0,0.001525061,1951
1950,36.0,0.001532698,1961
1960,36.0,0.001544211,1971
1970,36.0,0.001551817,1981
1980,36.0,0.001560199,1991
1990,36.0,0.001569537,2001
2000,36.0,0.00157972,2011
2010,36.0,0.001586576,2021
2020,36.0,0.0015942,2031
2030,36.0,0.001601857,2041
2040,36.0,0.001610191,2051
2050,36.0,0.001617352,2061
2060,36.0,0.00162618,2071
2070,36.0,0.001635898,2081
2080,36.0,0.001643092,2091
2090,36.0,0.001651019,2101
2100,36.0,0.001659871,2111
2110,36.0,0.001670384,2121
2120,36.0,0.001677436,2131
2130,36.0,0.001684315,2141
2140,36.0,0.001692745,2151
2150,36.0,0.001698674,2161
2160,36.0,0.001707819,2171
2170,36.0,0.001716892,2181
2180,36.0,0.001728645,2191
2190,36.0,0.001737093,2201
2200,36.0,0.001744048,2211
2210,36.0,0.001751768,2221
2220,36.0,0.001759371,2231
2230,36.0,0.001766919,2241
2240,36.0,0.001776102,2251
2250,36.0,0.001785225,2261
2260,36.0,0.001792,2271
2270,36.0,0.001800414,2281
2280,36.0,0.001807108,2291
2290,36.0,0.001813809,2301
2300,36.0,0.00182314,2311
2310,36.0,0.001832452,2321
2320,36.0,0.001840094,2331
2330,36.0,0.001847805,2341
2340,36.0,0.001859276,2351
2350,36.0,0.00186737,2361
2360,36.0,0.00187719,2371
2370,36.0,0.001887679,2381
2380,36.0,0.001904049,2391
2390,36.0,0.001914685,2401
2400,36.0,0.001924836,2411
2410,36.0,0.001949528,2421
2420,36.0,0.001960778,2431
2430,36.0,0.001973601,2441
2440,36.0,0.001986063,2451
2450,36.0,0.001997659,2461
2460,36.0,0.002006737,2471
2470,36.0,0.002016031,2481
2480,36.0,0.002025798,2491
2490,36.0,0.002037277,2501
2500,36.0,0.002048587,2511
2510,36.0,0.002060691,2521
2520,36.0,0.002071657,2531
2530,36.0,0.002083605,2541
2540,36.0,0.002097475,2551
2550,36.0,0.002109147,2561
2560,36.0,0.002118441,2571
2570,36.0,0.002128584,2581
2580,36.0,0.002135625,2591
2590,36.0,0.002150171,2601
2600,36.0,0.002163554,2611
2610,36.0,0.002174577,2621
2620,36.0,0.002188756,2631
2630,36.0,0.00219997,2641
2640,36.0,0.002213138,2651
2650,36.0,0.002242165,2661
2660,36.0,0.002255276,2671
2670,36.0,0.002266468,2681
2680,36.0,0.002278693,2691
2690,36.0,0.002288359,2701
2700,36.0,0.002298862,2711
2710,36.0,0.002312576,2721
2720,36.0,0.002325513,2731
2730,36.0,0.002337315,2741
2740,36.0,0.002348406,2751
2750,36.0,0.002361101,2761
2760,36.0,0.002371429,2771
2770,36.0,0.002382291,2781
2780,36.0,0.002395689,2791
2790,36.0,0.002408473,2801
2800,36.0,0.002421092,2811
2810,36.0,0.002435191,2821
2820,36.0,0.002447822,2831
2830,36.0,0.002458613,2841
2840,36.0,0.002469446,2851
2850,36.0,0.002482064,2861
2860,36.0,0.002495771,2871
2870,36.0,0.002508409,2881
2880,36.0,0.00251957,2891
2890,36.0,0.00253187,2901
2900,36.0,0.002542173,2911
2910,36.0,0.002554365,2921
2920,36.0,0.002562336,2931
2930,36.0,0.002574966,2941
2940,36.0,0.002587556,2951
2950,36.0,0.002598155,2961
2960,36.0,0.002606865,2971
2970,36.0,0.002617072,2981
2980,36.0,0.00262891,2991
