iterations,fitness,time,fevals
0,535.0,0.005575194,686
10,535.0,0.009315146,1260
20,530.0,0.012134477,1847
30,522.0,0.01578594,2413
40,519.0,0.01985877,2998
50,520.0,0.023666442,3574
60,509.0,0.025660479,4146
70,519.0,0.027542772,4717
80,520.0,0.029610191,5298
90,525.0,0.034302452,5876
100,529.0,0.038781043,6453
110,529.0,0.040591104,7035
120,537.0,0.042393774,7615
130,527.0,0.044243646,8192
140,531.0,0.046201175,8770
150,537.0,0.048181132,9348
160,537.0,0.050671375,9922
170,537.0,0.052712019,10502
180,531.0,0.054461855,11070
190,533.0,0.056230991,11647
200,541.0,0.05798739,12229
210,541.0,0.059738018,12806
220,531.0,0.062733621,13385
230,541.0,0.067556894,13950
240,533.0,0.069523317,14507
250,543.0,0.072668628,15072
260,541.0,0.074420395,15645
270,539.0,0.076546547,16212
280,551.0,0.08210387,16800
290,547.0,0.084190628,17374
300,545.0,0.085886545,17963
310,549.0,0.087572144,18546
320,555.0,0.089677754,19132
330,559.0,0.092898461,19713
340,555.0,0.098508517,20302
350,561.0,0.100574139,20894
360,559.0,0.102358341,21481
370,559.0,0.104310641,22067
380,559.0,0.106082849,22651
390,561.0,0.107880001,23220
400,555.0,0.109649791,23817
410,557.0,0.111671285,24404
420,563.0,0.114155035,24987
430,563.0,0.11643342,25568
440,561.0,0.118144916,26141
450,567.0,0.119832018,26718
460,565.0,0.122114618,27302
470,565.0,0.127723836,27878
480,565.0,0.129544228,28458
490,559.0,0.131324276,29025
500,561.0,0.133267048,29592
510,565.0,0.136422801,30188
520,577.0,0.140962746,30767
530,579.0,0.144247352,31334
540,569.0,0.14602219,31911
550,569.0,0.147751566,32496
560,569.0,0.149633248,33075
570,569.0,0.151630209,33640
580,561.0,0.153562254,34227
590,565.0,0.155934319,34809
600,565.0,0.15810848,35388
610,561.0,0.159838384,35964
620,559.0,0.161593219,36535
630,569.0,0.16355062,37130
640,575.0,0.165382007,37690
650,577.0,0.169779881,38266
660,575.0,0.172982961,38847
670,567.0,0.175064393,39409
680,565.0,0.178008433,39997
690,563.0,0.179826353,40582
700,565.0,0.183080485,41188
710,565.0,0.18730785,41778
720,569.0,0.189056507,42368
730,575.0,0.190822051,42962
740,581.0,0.192795,43558
750,581.0,0.196503157,44134
760,581.0,0.202976793,44717
770,579.0,0.204677107,45294
780,577.0,0.206430295,45874
790,581.0,0.208581539,46459
800,577.0,0.210354788,47034
810,575.0,0.212266269,47621
820,580.0,0.214430749,48192
830,583.0,0.216635799,48757
840,575.0,0.218371171,49317
850,579.0,0.220113569,49901
860,579.0,0.221821487,50482
870,577.0,0.223558978,51062
880,579.0,0.225259649,51634
890,581.0,0.229672021,52215
