iterations,fitness,time,fevals
0,554.0,9.177022392,1000
10,591.0,17.981359384,2100
20,640.0,26.19743703,3200
30,688.0,33.950555693,4300
40,726.0,41.263295054,5400
50,734.0,48.240342557,6500
60,748.0,55.266592994,7600
70,756.0,62.319658887,8700
80,760.0,69.317119973,9800
90,764.0,75.929527291,10900
100,766.0,82.865125565,12000
110,762.0,89.353533636,13100
120,762.0,96.075887262,14200
130,764.0,102.989084594,15300
140,766.0,109.79595406,16400
150,768.0,116.720403619,17500
160,770.0,123.48898187,18600
170,768.0,130.641011612,19700
180,768.0,137.364418743,20800
190,768.0,144.05119725,21900
200,770.0,150.579071084,23000
210,770.0,157.648594344,24100
220,772.0,164.493602331,25200
230,772.0,171.843599771,26300
240,772.0,178.514753589,27400
250,774.0,185.232028947,28500
260,770.0,191.914316321,29600
270,772.0,198.643489872,30700
280,774.0,205.689904694,31800
290,774.0,212.190694504,32900
300,776.0,219.023711063,34000
310,774.0,226.277901435,35100
320,772.0,232.996791625,36200
330,774.0,239.649687844,37300
340,776.0,246.458660762,38400
350,774.0,253.355414192,39500
360,774.0,260.162741112,40600
370,772.0,266.903137815,41700
380,778.0,273.449741178,42800
390,774.0,279.831334702,43900
400,774.0,286.27017398,45000
410,774.0,292.645361325,46100
420,772.0,299.184931596,47200
430,776.0,305.705193444,48300
440,774.0,312.149270539,49400
450,772.0,318.684730566,50500
460,778.0,325.202214127,51600
470,776.0,331.59055055,52700
480,774.0,338.048698046,53800
490,776.0,344.477742312,54900
500,774.0,350.893739246,56000
510,776.0,357.331468388,57100
520,778.0,363.810598507,58200
530,778.0,370.303725946,59300
540,778.0,376.837968214,60400
550,778.0,383.260556007,61500
560,776.0,390.024256869,62600
570,776.0,396.546382532,63700
580,776.0,403.167523148,64800
590,776.0,409.775881492,65900
600,774.0,416.189627316,67000
610,776.0,422.671906793,68100
620,776.0,429.267324224,69200
630,776.0,435.995019081,70300
640,778.0,442.775576406,71400
650,776.0,449.655020297,72500
660,778.0,456.4284878,73600
670,778.0,463.435247962,74700
680,776.0,470.39855385,75800
690,780.0,477.1401903,76900
700,778.0,484.095796627,78000
710,782.0,491.072872521,79100
720,780.0,497.851350601,80200
730,780.0,504.792605826,81300
740,784.0,511.781006215,82400
750,782.0,518.776721448,83500
760,778.0,525.717105104,84600
770,778.0,532.361625721,85700
780,780.0,539.039178582,86800
790,780.0,545.642732762,87900
800,778.0,552.410224288,89000
810,780.0,559.077347647,90100
820,780.0,566.121209449,91200
830,784.0,573.120565198,92300
840,778.0,580.10599604,93400
850,782.0,586.97688389,94500
860,780.0,593.893831468,95600
870,782.0,600.811595633,96700
880,784.0,607.637644394,97800
890,780.0,614.467259777,98900
