iterations,fitness,time,fevals
0,505.0,0.0014815,11
10,507.0,0.002573016,21
20,509.0,0.003985318,31
30,513.0,0.005456547,41
40,515.0,0.006521169,51
50,515.0,0.008047195,61
60,515.0,0.008835513,71
70,517.0,0.009214694,81
80,519.0,0.009614588,91
90,521.0,0.009942473,101
100,521.0,0.010263937,111
110,521.0,0.010769751,121
120,521.0,0.011448499,131
130,525.0,0.011751553,141
140,531.0,0.011923721,151
150,533.0,0.012637259,161
160,537.0,0.013162091,171
170,539.0,0.013278841,181
180,541.0,0.013368735,191
190,541.0,0.013459113,201
200,547.0,0.013534793,211
210,549.0,0.013584303,221
220,549.0,0.013627776,231
230,551.0,0.013695657,241
240,551.0,0.013742847,251
250,553.0,0.013836795,261
260,557.0,0.013916495,271
270,559.0,0.013973938,281
280,559.0,0.014114843,291
290,563.0,0.014193745,301
300,565.0,0.014261258,311
310,565.0,0.014325947,321
320,567.0,0.014384643,331
330,567.0,0.014427108,341
340,575.0,0.014515506,351
350,579.0,0.014605306,361
360,579.0,0.014645178,371
370,581.0,0.014692725,381
380,581.0,0.014754326,391
390,581.0,0.014860521,401
400,581.0,0.014947446,411
410,581.0,0.015017649,421
420,583.0,0.015089337,431
430,583.0,0.015142152,441
440,585.0,0.015185636,451
450,585.0,0.015266126,461
460,585.0,0.015304885,471
470,587.0,0.015381906,481
480,589.0,0.015467308,491
490,589.0,0.01557943,501
500,589.0,0.015663686,511
510,593.0,0.01579733,521
520,597.0,0.015961618,531
530,599.0,0.016065189,541
540,599.0,0.016165943,551
550,605.0,0.016250799,561
560,607.0,0.016334204,571
570,611.0,0.016418186,581
580,611.0,0.016496097,591
590,613.0,0.016577866,601
600,619.0,0.016717716,611
610,621.0,0.016824211,621
620,623.0,0.016916258,631
630,623.0,0.017003658,641
640,623.0,0.017096467,651
650,623.0,0.017179574,661
660,625.0,0.017273906,671
670,625.0,0.017409662,681
680,625.0,0.017494384,691
690,629.0,0.017584312,701
700,629.0,0.01767259,711
710,633.0,0.017752934,721
720,633.0,0.017846926,731
730,633.0,0.017893445,741
740,639.0,0.017920662,751
750,639.0,0.017947449,761
760,643.0,0.017974526,771
770,643.0,0.018004464,781
780,643.0,0.018056495,791
790,645.0,0.018085479,801
800,647.0,0.018118434,811
810,647.0,0.018220899,821
820,647.0,0.018270545,831
830,649.0,0.018303143,841
840,653.0,0.018335553,851
850,655.0,0.018368547,861
860,657.0,0.018395165,871
870,657.0,0.01842071,881
880,659.0,0.0184532,891
890,661.0,0.01848612,901
