iterations,fitness,time,fevals
0,535.0,6.656e-05,11
10,535.0,0.000142188,21
20,533.0,0.000240974,31
30,533.0,0.00034673,41
40,535.0,0.000464893,51
50,537.0,0.000564445,61
60,539.0,0.00066276,71
70,543.0,0.000802839,81
80,545.0,0.000901787,91
90,547.0,0.001003838,101
100,547.0,0.001181088,111
110,547.0,0.001305704,121
120,547.0,0.001382502,131
130,549.0,0.001506224,141
140,549.0,0.001603875,151
150,551.0,0.001696484,161
160,553.0,0.001775262,171
170,557.0,0.001843272,181
180,563.0,0.001911866,191
190,565.0,0.001980953,201
200,567.0,0.00204329,211
210,571.0,0.002106736,221
220,571.0,0.002177444,231
230,575.0,0.002263628,241
240,579.0,0.002336875,251
250,581.0,0.002400845,261
260,585.0,0.002463739,271
270,587.0,0.002526132,281
280,589.0,0.00259627,291
290,589.0,0.002659017,301
300,591.0,0.002722365,311
310,591.0,0.002791152,321
320,591.0,0.00285522,331
330,591.0,0.002924419,341
340,593.0,0.002993093,351
350,595.0,0.003055475,361
360,595.0,0.003118192,371
370,597.0,0.003183007,381
380,597.0,0.00327026,391
390,597.0,0.003333931,401
400,601.0,0.003397502,411
410,605.0,0.003487679,421
420,607.0,0.003550178,431
430,607.0,0.003626909,441
440,607.0,0.003687408,451
450,607.0,0.003747266,461
460,607.0,0.003903978,471
470,609.0,0.004008703,481
480,611.0,0.004106406,491
490,611.0,0.004198283,501
500,613.0,0.004322049,511
510,615.0,0.004418041,521
520,615.0,0.004521999,531
530,615.0,0.004624511,541
540,618.0,0.004732436,551
550,620.0,0.004843785,561
560,620.0,0.004950354,571
570,624.0,0.005077869,581
580,628.0,0.005179729,591
590,628.0,0.005256323,601
600,636.0,0.005358413,611
610,638.0,0.0054305,621
620,638.0,0.005492326,631
630,640.0,0.005554128,641
640,642.0,0.005619877,651
650,646.0,0.005721342,661
660,646.0,0.00579833,671
670,646.0,0.005868257,681
680,648.0,0.00597602,691
690,648.0,0.006051265,701
700,650.0,0.006115856,711
710,652.0,0.006184655,721
720,654.0,0.006249499,731
730,656.0,0.006344133,741
740,658.0,0.006443451,751
750,660.0,0.00651894,761
760,666.0,0.006599909,771
770,668.0,0.006670747,781
780,670.0,0.006766557,791
790,670.0,0.006862341,801
800,672.0,0.006970483,811
810,672.0,0.007034239,821
820,674.0,0.007098541,831
830,674.0,0.007164419,841
840,674.0,0.007228509,851
850,674.0,0.007301996,861
860,676.0,0.007368685,871
870,676.0,0.007439281,881
880,676.0,0.007528321,891
890,680.0,0.007610032,901
