problem,algorithm,params,best fitness,best iterations,best time,best fevals
CONTPEAKS,RHC,"[]",86.0,4810,0.029507136,4821.0
CONTPEAKS,MIMIC,"['100', '50', '0.7']",85.0,3850,20.882866712000002,424500.0
CONTPEAKS,SA,"['0.35']",99.0,3540,0.006721481999999999,3551.0
CONTPEAKS,GA,"['100', '50', '30']",99.0,4440,0.29066374300000003,280325.0
FLIPFLOP,MIMIC,"['100', '50', '0.9']",817.0,630,479.199804466,70300.0
FLIPFLOP,GA,"['100', '10', '50']",569.0,690,0.157423633,32071.0
FLIPFLOP,SA,"['0.35']",675.0,890,0.025775013,901.0
FLIPFLOP,RHC,"[]",667.0,880,0.003545869,891.0
NN,SA,"['/NN', 'SA', '0.5']",0.36729396495800004,500,14.872358970999999,0
NN,GA,"['/NN', 'GA', '50', '20', '2']",0.823734729494,430,493.76449193699995,0
NN,Backprop,"['/NN', 'Backpro']",0.878274268105,50,4.127705373,0
NN,RHC,"['/NN', 'RH']",0.800718132855,440,5.970952489,0
TSP,SA,"['0.95']",0.0569481030552,2990,0.0047781920038699995,3001.0
TSP,GA,"['100', '50', '50']",0.11170872151799999,1650,0.45736318600000003,115868.0
TSP,MIMIC,"['100', '50', '0.1']",0.0371503396127,1900,327.12492221400004,210000.0
TSP,RHC,"[]",0.0531178013352,2980,0.00436117002573,2991.0
