k,GMM,Kmeans
2,0.2074280408542247,0.20705663881151345
3,0.3010213556174559,0.2971216341689879
4,0.36638811513463326,0.3925719591457753
5,0.4551532033426184,0.47650882079851437
6,0.5504178272980501,0.5353760445682452
7,0.6120705663881152,0.5884865366759517
8,0.5827298050139276,0.5929433611884866
9,0.6207985143918292,0.6919220055710307
10,0.7026926648096564,0.7225626740947075
15,0.8677808727948003,0.8037140204271124
20,0.8753946146703807,0.7944289693593315
25,0.8833797585886722,0.8137418755803157
30,0.8833797585886722,0.8254410399257196
35,0.8999071494893222,0.8544103992571959
40,0.9147632311977716,0.86313834726091
