k,GMM,Kmeans
2,0.20818639199116196,0.15225153816641668
3,0.29947653495734794,0.30523360368684144
4,0.36459060684898603,0.3900564149829614
5,0.4341472449136126,0.42415208550310385
6,0.5116131162105697,0.470019602408571
7,0.5818125016676089,0.5146398958229412
8,0.5879876514887921,0.5444308623243815
9,0.6161757053268578,0.604820098950613
10,0.6845165973407077,0.6436152557663193
15,0.7322263800063589,0.6348407634838161
20,0.6877958346295817,0.5806886627525552
25,0.6478506659340015,0.5526747963779785
30,0.6150288333757279,0.5444449295923124
35,0.6110708812407023,0.5446085822781741
40,0.5883162098407869,0.5275244238652039
