k,type,score,label
2,Kmeans,0.138538,0
2,Kmeans,0.098834,0
2,Kmeans,1e-06,0
2,Kmeans,0.40837,1
2,Kmeans,0.102949,0
2,Kmeans,0.036928,0
2,Kmeans,0.202928,0
2,Kmeans,0.166589,0
2,Kmeans,0.378819,1
2,Kmeans,0.114008,0
2,Kmeans,0.178444,0
2,Kmeans,0.09601,0
2,Kmeans,0.054119,0
2,Kmeans,0.207024,1
2,Kmeans,0.100343,0
2,Kmeans,0.006948,0
2,Kmeans,0.115651,0
2,Kmeans,0.267584,1
2,Kmeans,0.332882,1
2,Kmeans,0.166682,0
2,Kmeans,-0.0428,0
2,Kmeans,0.116794,1
2,Kmeans,0.180455,0
2,Kmeans,0.08438,0
2,Kmeans,0.083752,0
2,Kmeans,0.200847,1
2,Kmeans,0.265157,1
2,Kmeans,0.089174,0
2,Kmeans,0.120804,0
2,Kmeans,0.090738,0
2,Kmeans,0.403909,1
2,Kmeans,-0.041396,0
2,Kmeans,0.122753,0
2,Kmeans,0.128418,0
2,Kmeans,0.210233,1
2,Kmeans,0.060708,0
2,Kmeans,0.116065,0
2,Kmeans,0.334307,1
2,Kmeans,0.023589,0
2,Kmeans,0.142883,0
2,Kmeans,0.113723,0
2,Kmeans,0.109915,0
2,Kmeans,0.150905,0
2,Kmeans,0.07923,0
2,Kmeans,-0.029271,0
2,Kmeans,0.299678,1
2,Kmeans,0.010593,0
2,Kmeans,-0.041811,0
2,Kmeans,0.145504,0
2,Kmeans,0.095955,0
2,Kmeans,0.034888,0
2,Kmeans,0.200076,1
2,Kmeans,-0.024906,0
2,Kmeans,0.084902,0
2,Kmeans,0.08595,0
2,Kmeans,0.151117,0
2,Kmeans,0.099275,0
2,Kmeans,0.106063,0
2,Kmeans,0.13927,0
2,Kmeans,0.382414,1
2,Kmeans,-0.011379,0
2,Kmeans,-0.074331,0
2,Kmeans,0.394446,1
2,Kmeans,0.103628,0
2,Kmeans,0.074689,0
2,Kmeans,-0.060657,0
2,Kmeans,0.255091,1
2,Kmeans,0.109123,0
2,Kmeans,0.058998,0
2,Kmeans,0.132154,0
2,Kmeans,0.171698,0
2,Kmeans,0.15714,0
2,Kmeans,0.099616,0
2,Kmeans,0.260869,1
2,Kmeans,0.082283,0
2,Kmeans,0.066749,0
2,Kmeans,0.103032,0
2,Kmeans,0.194072,1
2,Kmeans,0.240778,1
2,Kmeans,0.108347,0
2,Kmeans,0.33251,1
2,Kmeans,0.068121,0
2,Kmeans,0.060129,0
2,Kmeans,0.084252,0
2,Kmeans,0.148327,0
2,Kmeans,0.11691,0
2,Kmeans,0.092375,0
2,Kmeans,0.304806,1
2,Kmeans,0.38161,1
2,Kmeans,0.177993,0
2,Kmeans,0.13562,0
2,Kmeans,0.298425,1
2,Kmeans,0.049585,0
2,Kmeans,0.149347,0
2,Kmeans,0.425026,1
2,Kmeans,0.348601,1
2,Kmeans,0.139532,0
2,Kmeans,0.316797,1
2,Kmeans,0.020175,0
2,Kmeans,0.007197,0
2,Kmeans,-0.054195,0
2,Kmeans,0.09639,0
2,Kmeans,0.000757,0
2,Kmeans,0.313417,1
2,Kmeans,0.336937,1
2,Kmeans,0.272825,1
2,Kmeans,0.220197,1
2,Kmeans,0.315193,1
2,Kmeans,0.089887,1
2,Kmeans,0.075094,0
2,Kmeans,-0.005521,0
2,Kmeans,0.413684,1
2,Kmeans,0.092576,0
2,Kmeans,0.063563,0
2,Kmeans,0.370661,1
2,Kmeans,0.322057,1
2,Kmeans,0.303117,1
2,Kmeans,0.009722,0
2,Kmeans,0.073467,0
2,Kmeans,0.094965,0
2,Kmeans,0.112475,0
2,Kmeans,0.00217,0
2,Kmeans,0.320084,1
2,Kmeans,0.129194,0
2,Kmeans,0.387247,1
2,Kmeans,0.093304,0
2,Kmeans,0.332049,1
2,Kmeans,0.057866,0
2,Kmeans,0.29711,1
2,Kmeans,0.166816,0
2,Kmeans,0.410765,1
2,Kmeans,0.100974,0
2,Kmeans,0.131266,0
2,Kmeans,0.431842,1
2,Kmeans,0.310002,1
2,Kmeans,-0.022081,0
2,Kmeans,0.318341,1
2,Kmeans,0.091121,0
2,Kmeans,0.014079,0
2,Kmeans,0.159611,0
2,Kmeans,0.29585,1
2,Kmeans,0.396618,1
2,Kmeans,0.30734,1
2,Kmeans,0.236837,1
2,Kmeans,0.044791,0
2,Kmeans,0.407511,1
2,Kmeans,0.393468,1
2,Kmeans,0.026352,0
2,Kmeans,0.118434,0
2,Kmeans,0.014703,0
2,Kmeans,0.312218,1
2,Kmeans,0.411388,1
2,Kmeans,0.238565,1
2,Kmeans,-0.021965,0
2,Kmeans,0.150758,0
2,Kmeans,-0.064662,0
2,Kmeans,0.324359,1
2,Kmeans,0.01477,0
2,Kmeans,0.42334,1
2,Kmeans,0.149225,1
2,Kmeans,0.399551,1
2,Kmeans,0.053607,0
2,Kmeans,0.260457,1
2,Kmeans,0.089957,0
2,Kmeans,0.114852,0
2,Kmeans,-0.063194,0
2,Kmeans,0.102048,1
2,Kmeans,0.084512,0
2,Kmeans,0.059359,0
2,Kmeans,-0.020641,0
2,Kmeans,0.252423,1
2,Kmeans,0.096365,0
2,Kmeans,0.103271,0
2,Kmeans,0.069402,1
2,Kmeans,0.080936,0
2,Kmeans,0.265414,1
2,Kmeans,0.348629,1
2,Kmeans,0.103719,0
2,Kmeans,-0.084789,0
2,Kmeans,0.418409,1
2,Kmeans,0.084832,0
2,Kmeans,0.123636,0
2,Kmeans,0.357859,1
2,Kmeans,0.13131,1
2,Kmeans,0.12161,0
2,Kmeans,0.3494,1
2,Kmeans,0.146804,0
2,Kmeans,0.344342,1
2,Kmeans,0.115021,0
2,Kmeans,0.064733,0
2,Kmeans,0.365081,1
2,Kmeans,0.119513,0
2,Kmeans,0.098276,0
2,Kmeans,0.289554,1
2,Kmeans,0.091989,0
2,Kmeans,0.297916,1
2,Kmeans,0.310815,1
2,Kmeans,0.137721,0
2,Kmeans,0.388267,1
2,Kmeans,0.402464,1
2,Kmeans,0.11039,0
2,Kmeans,0.088249,0
2,Kmeans,0.125966,0
2,Kmeans,0.009414,0
2,Kmeans,0.264575,1
2,Kmeans,0.018071,0
2,Kmeans,0.126599,0
2,Kmeans,0.030684,0
