k,GMM,Kmeans
2,0.15867180031370262,0.15923179480689592
3,0.19759949134713298,0.19958915160501747
4,0.1936003703076184,0.22268454457711365
5,0.21066728795440554,0.23873533668215458
6,0.2375139889883176,0.2567352318397033
7,0.2540340683183521,0.2781915698270597
8,0.22745980145132683,0.2834077833664589
9,0.2208225257049571,0.28157178154174134
10,0.21805267458108157,0.29433270388265304
15,0.28120290534769865,0.3165442677679908
20,0.2686089664200168,0.2952275570092923
25,0.2492962810415139,0.2656392211516293
30,0.2163706989328179,0.26500030810322445
35,0.20894735537794962,0.26161893196311603
40,0.1840461958875894,0.2475382575277995
