k,GMM,Kmeans
2,0.6060337178349601,0.6060337178349601
3,0.6823425022182786,0.8327417923691216
4,0.725377107364685,0.6064773735581189
5,0.7639751552795031,0.6064773735581189
6,0.7879325643300799,0.813220940550133
7,0.8247559893522627,0.8039041703637977
8,0.8198757763975155,0.8181011535048802
9,0.8123336291038155,0.7976929902395741
10,0.8296362023070097,0.7404614019520852
15,0.8611357586512866,0.7919254658385093
20,0.8646850044365573,0.7892635314995563
25,0.8682342502218279,0.7954747116237799
30,0.8535936113575865,0.8154392191659272
35,0.8642413487133984,0.8278615794143744
40,0.8842058562555457,0.8429458740017747
