k,GMM,Kmeans
2,0.00028051256836311706,0.003643113479794039
3,0.13935368671243975,0.3463715030746521
4,0.132744340259337,0.00646997053901571
5,0.11580023173622535,0.022277107159228357
6,0.11928382829997114,0.22988920661676332
7,0.15088299860427662,0.1804230555489864
8,0.13748618089630738,0.24058861252997085
9,0.138697215044501,0.15765046304644645
10,0.13179242938087826,0.11778252321693426
15,0.13445116046883102,0.13060111522619647
20,0.12716962660495115,0.09976109279236157
25,0.11790377123216404,0.09249178985954397
30,0.10723072472202771,0.0974306140431945
35,0.10763766149766833,0.09338130918591049
40,0.11172172696733683,0.10358567627210759
