k,type,score,label
2,Kmeans,0.585898,0
2,Kmeans,0.738647,0
2,Kmeans,0.715922,0
2,Kmeans,0.742804,0
2,Kmeans,0.741031,0
2,Kmeans,0.730912,0
2,Kmeans,0.532754,0
2,Kmeans,0.746787,0
2,Kmeans,0.651,0
2,Kmeans,0.730802,0
2,Kmeans,0.676663,0
2,Kmeans,0.476936,0
2,Kmeans,0.70991,0
2,Kmeans,0.681229,0
2,Kmeans,0.742747,0
2,Kmeans,0.70208,0
2,Kmeans,0.732157,0
2,Kmeans,0.739405,0
2,Kmeans,0.704518,0
2,Kmeans,0.555592,0
2,Kmeans,0.673261,0
2,Kmeans,0.735528,0
2,Kmeans,0.402611,0
2,Kmeans,0.711786,0
2,Kmeans,0.408036,0
2,Kmeans,0.545644,0
2,Kmeans,0.596795,0
2,Kmeans,0.742371,0
2,Kmeans,0.748013,0
2,Kmeans,0.524738,0
2,Kmeans,0.735803,0
2,Kmeans,0.675073,0
2,Kmeans,0.687381,0
2,Kmeans,0.732248,0
2,Kmeans,0.829152,1
2,Kmeans,0.635608,0
2,Kmeans,0.476936,0
2,Kmeans,0.689057,0
2,Kmeans,0.722702,0
2,Kmeans,0.649115,0
2,Kmeans,0.753683,0
2,Kmeans,0.750526,0
2,Kmeans,0.75053,0
2,Kmeans,0.625246,0
2,Kmeans,0.740488,0
2,Kmeans,0.627183,0
2,Kmeans,0.735769,0
2,Kmeans,0.666715,0
2,Kmeans,0.159432,0
2,Kmeans,0.622209,0
2,Kmeans,0.743781,0
2,Kmeans,0.26532,0
2,Kmeans,0.701346,0
2,Kmeans,0.751771,0
2,Kmeans,0.669892,0
2,Kmeans,0.648706,0
2,Kmeans,0.681882,0
2,Kmeans,0.661989,0
2,Kmeans,0.714559,0
2,Kmeans,0.711032,0
2,Kmeans,0.747756,0
2,Kmeans,0.497577,1
2,Kmeans,0.686456,0
2,Kmeans,0.750669,0
2,Kmeans,0.601696,0
2,Kmeans,0.673072,0
2,Kmeans,0.739369,0
2,Kmeans,0.651509,0
2,Kmeans,0.545187,0
2,Kmeans,0.394787,0
2,Kmeans,0.691099,0
2,Kmeans,0.666623,0
2,Kmeans,0.733991,0
2,Kmeans,0.748056,0
2,Kmeans,0.735778,0
2,Kmeans,0.713974,0
2,Kmeans,0.73023,0
2,Kmeans,0.108752,0
2,Kmeans,0.460001,0
2,Kmeans,0.523769,0
2,Kmeans,0.534231,0
2,Kmeans,0.753029,0
2,Kmeans,0.688149,0
2,Kmeans,0.711233,0
2,Kmeans,0.580059,0
2,Kmeans,0.708289,0
2,Kmeans,0.60902,0
2,Kmeans,0.476936,0
2,Kmeans,0.726513,0
2,Kmeans,0.653147,0
2,Kmeans,0.750523,0
2,Kmeans,0.736856,0
2,Kmeans,0.717139,0
2,Kmeans,0.664768,0
2,Kmeans,0.732099,0
2,Kmeans,0.537852,0
2,Kmeans,0.58641,0
2,Kmeans,0.641279,0
2,Kmeans,0.732667,0
2,Kmeans,0.476936,0
2,Kmeans,0.600526,0
2,Kmeans,0.297335,0
2,Kmeans,0.283337,0
2,Kmeans,0.729185,0
2,Kmeans,0.675462,0
2,Kmeans,0.725616,0
2,Kmeans,0.712336,0
2,Kmeans,0.714602,0
2,Kmeans,0.649313,0
2,Kmeans,0.336789,0
2,Kmeans,0.744439,0
2,Kmeans,0.722891,0
2,Kmeans,0.691141,0
2,Kmeans,0.733749,0
2,Kmeans,0.698124,0
2,Kmeans,0.650412,0
2,Kmeans,0.750266,0
2,Kmeans,0.69074,0
2,Kmeans,0.734367,0
2,Kmeans,0.702546,0
2,Kmeans,0.554525,0
2,Kmeans,0.702296,0
2,Kmeans,0.517859,0
2,Kmeans,0.744595,0
2,Kmeans,0.746153,0
2,Kmeans,0.650149,0
2,Kmeans,0.677007,0
2,Kmeans,0.749405,0
2,Kmeans,0.679918,0
2,Kmeans,0.669725,0
2,Kmeans,0.637606,0
2,Kmeans,0.72525,0
2,Kmeans,0.712016,0
2,Kmeans,0.613322,0
2,Kmeans,0.732687,0
2,Kmeans,0.7367,0
2,Kmeans,0.735193,0
2,Kmeans,0.567563,0
2,Kmeans,0.72223,0
2,Kmeans,0.72113,0
2,Kmeans,0.548147,0
2,Kmeans,0.537605,0
2,Kmeans,0.75445,0
2,Kmeans,0.75291,0
2,Kmeans,0.723272,0
2,Kmeans,0.610574,0
2,Kmeans,0.636732,0
2,Kmeans,0.586277,0
2,Kmeans,0.709419,0
2,Kmeans,0.504191,0
2,Kmeans,0.579938,0
2,Kmeans,0.532442,0
2,Kmeans,0.619312,0
2,Kmeans,0.737085,0
2,Kmeans,0.715283,0
2,Kmeans,0.559003,0
2,Kmeans,0.634386,0
2,Kmeans,0.712331,0
2,Kmeans,0.738317,0
2,Kmeans,0.724187,0
2,Kmeans,0.720685,0
2,Kmeans,0.645319,0
2,Kmeans,0.251601,0
2,Kmeans,0.613322,0
2,Kmeans,0.697834,0
2,Kmeans,0.639688,0
2,Kmeans,0.743043,0
2,Kmeans,0.708104,0
2,Kmeans,0.725627,0
2,Kmeans,0.70373,0
2,Kmeans,0.748255,0
2,Kmeans,0.736455,0
2,Kmeans,0.695118,0
2,Kmeans,0.417622,0
2,Kmeans,0.688456,0
2,Kmeans,0.310166,0
2,Kmeans,0.61039,0
2,Kmeans,0.576861,0
2,Kmeans,0.745078,0
2,Kmeans,0.718148,0
2,Kmeans,0.613322,0
2,Kmeans,0.67214,0
2,Kmeans,0.746403,0
2,Kmeans,0.623893,0
2,Kmeans,0.548894,0
2,Kmeans,0.716416,0
2,Kmeans,0.725705,0
2,Kmeans,0.366513,0
2,Kmeans,0.677146,0
2,Kmeans,0.591508,0
2,Kmeans,0.753253,0
2,Kmeans,0.709394,0
2,Kmeans,0.748864,0
2,Kmeans,0.712919,0
2,Kmeans,0.728636,0
2,Kmeans,0.652769,0
2,Kmeans,0.731672,0
2,Kmeans,0.74761,0
2,Kmeans,0.7304,0
2,Kmeans,0.676137,0
2,Kmeans,0.623185,0
2,Kmeans,0.67398,0
2,Kmeans,0.703525,0
2,Kmeans,0.700776,0
2,Kmeans,0.710202,0
2,Kmeans,0.604929,0
2,Kmeans,0.728753,0
2,Kmeans,0.703487,0
2,Kmeans,0.695186,0
2,Kmeans,0.606271,0
2,Kmeans,0.227899,0
2,Kmeans,0.726012,0
2,Kmeans,0.721363,0
2,Kmeans,0.476936,0
2,Kmeans,0.745076,0
2,Kmeans,0.608517,0
2,Kmeans,0.670216,0
2,Kmeans,0.749202,0
2,Kmeans,0.672493,0
2,Kmeans,0.707372,0
2,Kmeans,0.650522,0
2,Kmeans,0.605562,0
2,Kmeans,0.72066,0
2,Kmeans,0.722506,0
2,Kmeans,0.595125,0
2,Kmeans,0.75148,0
2,Kmeans,0.704166,0
2,Kmeans,0.613322,0
2,Kmeans,0.455402,0
2,Kmeans,0.754468,0
2,Kmeans,0.655542,0
2,Kmeans,0.724402,0
2,Kmeans,0.59269,0
2,Kmeans,0.731263,0
2,Kmeans,0.747122,0
2,Kmeans,0.710207,0
