k,GMM,Kmeans
2,0.22784581969143833,0.6587339461590908
3,0.04288974004015342,0.14505278335204846
4,-0.042141063947897586,0.660211201783365
5,-0.0475376105140212,0.10147021434504008
6,-0.05475584926875164,0.15060877230622394
7,-0.050328155055057534,0.15143428668708825
8,-0.04043503241396959,0.17405599913143976
9,-0.036581382727984835,0.10042709769093919
10,-0.05288740917428826,0.0800527452588625
15,-0.036882284064682004,0.18288676119010583
20,-0.005712746574232804,0.15230760209135422
25,-0.0036700003547952493,0.1442943666536063
30,-0.0025148136608679826,0.14073505500378794
35,0.021292973209212022,0.14132840350525747
40,0.013044590435494148,0.1403865083358311
