k,GMM,Kmeans
2,0.20705663881151345,0.20687093779015783
3,0.298050139275766,0.29953574744661093
4,0.39517177344475396,0.3845868152274837
5,0.44958217270194983,0.44178272980501393
6,0.5294336118848654,0.5006499535747446
7,0.5782729805013928,0.5808727948003714
8,0.5857010213556174,0.5855153203342618
9,0.6215413184772516,0.5925719591457753
10,0.6913649025069638,0.660724233983287
15,0.7307335190343547,0.7158774373259053
20,0.7782729805013927,0.7372330547818013
25,0.776230269266481,0.7734447539461468
30,0.8157845868152275,0.7808727948003714
35,0.8280408542246982,0.7948003714020427
40,0.8271123491179202,0.7907149489322192
