k,GMM,Kmeans
2,0.20381141320075685,0.18995039929584387
3,0.2897820414588138,0.29114286201059053
4,0.4337991914247285,0.3830613671623229
5,0.4700717864280623,0.446388670515928
6,0.5179621894935298,0.5019679085984918
7,0.5568632819103713,0.5598884437459384
8,0.5675325468973871,0.5639615959395735
9,0.6093627091375096,0.5777971569046694
10,0.6533288312054469,0.615163486463196
15,0.624287213471634,0.5830520303360787
20,0.5885294515246768,0.5453220696882586
25,0.5582079605067931,0.5299705999410584
30,0.5374633603251913,0.512522760521188
35,0.5200820687103284,0.5033720216857722
40,0.50378870523479,0.48461353206398505
