k,type,score,label
2,Kmeans,0.286672,0
2,Kmeans,0.448596,0
2,Kmeans,0.087285,1
2,Kmeans,0.25994,1
2,Kmeans,0.340956,0
2,Kmeans,0.333551,0
2,Kmeans,0.475123,1
2,Kmeans,0.476413,0
2,Kmeans,0.513304,0
2,Kmeans,0.309675,1
2,Kmeans,0.384944,0
2,Kmeans,0.458707,0
2,Kmeans,0.459431,0
2,Kmeans,0.463861,0
2,Kmeans,0.019029,1
2,Kmeans,0.34639,0
2,Kmeans,0.47246,0
2,Kmeans,0.215397,1
2,Kmeans,0.297861,1
2,Kmeans,0.243349,1
2,Kmeans,0.426122,0
2,Kmeans,0.252814,1
2,Kmeans,0.101403,1
2,Kmeans,0.300508,1
2,Kmeans,0.189531,1
2,Kmeans,0.322918,1
2,Kmeans,0.093716,0
2,Kmeans,0.016061,1
2,Kmeans,0.127109,1
2,Kmeans,0.404624,0
2,Kmeans,0.406465,1
2,Kmeans,0.504521,0
2,Kmeans,0.149445,0
2,Kmeans,0.359791,0
2,Kmeans,0.543983,0
2,Kmeans,0.531617,0
2,Kmeans,0.300992,1
2,Kmeans,0.380355,1
2,Kmeans,0.174585,1
2,Kmeans,0.40185,0
2,Kmeans,0.464784,0
2,Kmeans,0.339937,1
2,Kmeans,0.422407,0
2,Kmeans,0.468879,0
2,Kmeans,0.476442,0
2,Kmeans,0.377097,1
2,Kmeans,0.36499,0
2,Kmeans,0.445452,0
2,Kmeans,0.429712,0
2,Kmeans,0.413825,1
2,Kmeans,0.116115,1
2,Kmeans,0.469817,0
2,Kmeans,0.313247,1
2,Kmeans,0.447685,1
2,Kmeans,0.251771,1
2,Kmeans,0.273833,1
2,Kmeans,0.43302,0
2,Kmeans,0.487727,0
2,Kmeans,0.506964,0
2,Kmeans,0.092643,0
2,Kmeans,0.492933,0
2,Kmeans,0.473579,1
2,Kmeans,0.215787,1
2,Kmeans,0.515362,0
2,Kmeans,0.32949,1
2,Kmeans,0.184907,0
2,Kmeans,0.159552,1
2,Kmeans,0.459365,1
2,Kmeans,0.473283,1
2,Kmeans,0.273396,1
2,Kmeans,0.443748,1
2,Kmeans,0.493583,0
2,Kmeans,0.446615,1
2,Kmeans,0.32553,1
2,Kmeans,0.32454,1
2,Kmeans,0.047153,1
2,Kmeans,0.177017,0
2,Kmeans,0.508487,0
2,Kmeans,0.429778,0
2,Kmeans,0.315888,1
2,Kmeans,0.20964,1
2,Kmeans,0.483756,1
2,Kmeans,0.393638,0
2,Kmeans,0.437866,0
2,Kmeans,0.149484,1
2,Kmeans,0.299876,1
2,Kmeans,0.035272,1
2,Kmeans,0.454588,1
2,Kmeans,0.168386,1
2,Kmeans,0.442293,0
2,Kmeans,0.199868,1
2,Kmeans,0.392232,1
2,Kmeans,0.063311,1
2,Kmeans,0.305769,0
