k,GMM,Kmeans
2,0.3326935958737846,0.34172197425939765
3,0.337997593508985,0.35459182497836694
4,0.38524502505833474,0.4011095456697971
5,0.39335458127431155,0.4208631437563635
6,0.4079834656176752,0.44266958008462576
7,0.4360913417461646,0.46191006027038173
8,0.4440538256090262,0.46601367342976463
9,0.3983010960830768,0.4246193178266959
10,0.37596794485187474,0.400242879876199
15,0.3015754208223545,0.3678465874404625
20,0.26879548997849145,0.3322429853897592
25,0.24308902226058704,0.31936805361257453
30,0.23986293406541548,0.3044646669662647
35,0.2203158125697631,0.3058987320805313
40,0.22847934721019703,0.29199372311536465
