k,GMM,Kmeans
2,0.6060337178349601,0.6060337178349601
3,0.6401952085181899,0.8451641526175687
4,0.6712511091393079,0.8358473824312334
5,0.6881100266193434,0.8376220053238687
6,0.7023070097604259,0.8611357586512866
7,0.6925465838509317,0.7910381543921916
8,0.8482697426796806,0.8300798580301686
9,0.7284826974267968,0.8349600709849158
10,0.7204968944099379,0.8318544809228039
15,0.8655723158828749,0.84472049689441
20,0.860248447204969,0.8504880212954747
25,0.8580301685891748,0.8562555456965395
30,0.8708961845607809,0.8713398402839396
35,0.867790594498669,0.8686779059449867
40,0.8717834960070985,0.8598047914818101
