k,GMM,Kmeans
2,0.10682452254904465,0.0033072584882543653
3,0.08340866652159518,0.37028263887863677
4,0.10772842688241561,0.3086660581519689
5,0.10925086541894909,0.30729910972792973
6,0.11126271175113556,0.2749226159355497
7,0.1103287123952466,0.19672846858790793
8,0.16300224255705986,0.19383827006959448
9,0.12335472584061317,0.19259792953274532
10,0.11975100434408341,0.19038642560721714
15,0.14720672615957062,0.14520283105362003
20,0.12612502481950924,0.1307749652063912
25,0.11831109370611272,0.12393190975458708
30,0.11922851474607421,0.12002866623619192
35,0.11288518218994337,0.11184020285495024
40,0.10434486395733329,0.10701677690938356
