k,type,score,label
2,Kmeans,0.898449,1
2,Kmeans,0.930456,1
2,Kmeans,0.930152,1
2,Kmeans,0.916667,1
2,Kmeans,0.917831,1
2,Kmeans,0.903815,1
2,Kmeans,0.930257,1
2,Kmeans,0.909102,1
2,Kmeans,0.928721,1
2,Kmeans,0.911744,1
2,Kmeans,0.917593,1
2,Kmeans,0.916013,1
2,Kmeans,0.921635,1
2,Kmeans,0.926099,1
2,Kmeans,0.926593,1
2,Kmeans,0.902875,1
2,Kmeans,0.8571,1
2,Kmeans,0.901547,1
2,Kmeans,0.929183,1
2,Kmeans,0.929576,1
2,Kmeans,0.717253,1
2,Kmeans,0.921664,1
2,Kmeans,0.921512,1
2,Kmeans,0.906123,1
2,Kmeans,0.929216,1
2,Kmeans,0.849699,1
2,Kmeans,0.884556,1
2,Kmeans,0.928342,1
2,Kmeans,0.782135,1
2,Kmeans,0.85802,1
2,Kmeans,0.880822,1
2,Kmeans,0.915524,1
2,Kmeans,0.910598,1
2,Kmeans,0.924441,1
2,Kmeans,0.915899,1
2,Kmeans,0.903055,1
2,Kmeans,0.921897,1
2,Kmeans,0.930882,1
2,Kmeans,0.909877,1
2,Kmeans,0.930549,1
2,Kmeans,0.804576,1
2,Kmeans,0.922259,1
2,Kmeans,0.919619,1
2,Kmeans,0.819593,1
2,Kmeans,0.922036,1
2,Kmeans,0.927971,1
2,Kmeans,0.860301,1
2,Kmeans,0.92823,1
2,Kmeans,0.794723,1
2,Kmeans,0.874338,1
2,Kmeans,0.910953,1
2,Kmeans,0.921826,1
2,Kmeans,0.842217,1
2,Kmeans,0.926157,1
2,Kmeans,0.739903,1
2,Kmeans,0.925788,1
2,Kmeans,0.921402,1
2,Kmeans,0.887757,1
2,Kmeans,0.906123,1
2,Kmeans,0.909313,1
2,Kmeans,0.914266,1
2,Kmeans,0.887372,1
2,Kmeans,0.883835,1
2,Kmeans,0.924867,1
2,Kmeans,0.9279,1
2,Kmeans,0.929836,1
2,Kmeans,0.918948,1
2,Kmeans,0.907721,1
2,Kmeans,0.921624,1
2,Kmeans,0.913963,1
2,Kmeans,0.920118,1
2,Kmeans,0.925415,1
2,Kmeans,0.909239,1
2,Kmeans,0.894477,1
2,Kmeans,0.892492,1
2,Kmeans,0.918514,1
2,Kmeans,0.929749,1
2,Kmeans,0.907156,1
2,Kmeans,0.919544,1
2,Kmeans,0.919448,1
2,Kmeans,0.861855,1
2,Kmeans,0.917561,1
2,Kmeans,0.907472,1
2,Kmeans,0.925384,1
2,Kmeans,0.929881,1
2,Kmeans,0.901313,1
2,Kmeans,0.929839,1
2,Kmeans,0.928574,1
2,Kmeans,0.919013,1
2,Kmeans,0.83005,1
2,Kmeans,0.91796,1
2,Kmeans,0.90755,1
2,Kmeans,0.917831,1
2,Kmeans,0.853691,1
2,Kmeans,0.904046,1
2,Kmeans,0.916997,1
2,Kmeans,0.903648,1
2,Kmeans,0.906297,1
2,Kmeans,0.910759,1
2,Kmeans,0.928549,1
2,Kmeans,0.916619,1
2,Kmeans,0.921871,1
2,Kmeans,0.906286,1
2,Kmeans,0.890214,1
2,Kmeans,0.928077,1
2,Kmeans,0.914524,1
2,Kmeans,0.926101,1
2,Kmeans,0.906123,1
2,Kmeans,0.930948,1
2,Kmeans,0.92554,1
2,Kmeans,0.906123,1
2,Kmeans,0.901972,1
2,Kmeans,0.832596,1
2,Kmeans,0.895492,1
2,Kmeans,0.926955,1
2,Kmeans,0.923325,1
2,Kmeans,0.869383,1
2,Kmeans,0.930186,1
2,Kmeans,0.879388,1
2,Kmeans,0.919793,1
2,Kmeans,0.914917,1
2,Kmeans,0.927919,1
2,Kmeans,0.911226,1
2,Kmeans,0.901504,1
2,Kmeans,0.925365,1
2,Kmeans,0.928242,1
2,Kmeans,0.923344,1
2,Kmeans,0.92137,1
2,Kmeans,0.879185,1
2,Kmeans,0.910904,1
2,Kmeans,0.914314,1
2,Kmeans,0.887801,1
2,Kmeans,0.913479,1
2,Kmeans,0.919301,1
2,Kmeans,0.869559,1
2,Kmeans,0.916388,1
2,Kmeans,0.914533,1
2,Kmeans,0.8565,1
2,Kmeans,0.8592,1
2,Kmeans,0.919708,1
2,Kmeans,0.926446,1
2,Kmeans,0.885316,1
