k,GMM,Kmeans
2,0.28523361541632525,0.8954548742395047
3,0.24418972616566226,0.4240382101164757
4,0.2122189566693235,0.4611300971649064
5,0.09482336726378206,0.46036741234671136
6,0.09628137431485125,0.4202908973162437
7,0.08043282825836746,0.32111203965455254
8,0.17271107501198485,0.3378661172646385
9,0.08310925836745242,0.3423823204796088
10,0.07979819034941747,0.3385703810992141
15,0.12544257323114943,0.32699923684093946
20,0.08900380767985162,0.3075807588166575
25,0.0605849007260853,0.31092580636869355
30,0.023099694405958673,0.30736648771806263
35,0.05952899783601333,0.301370537718809
40,0.053023799131846364,0.30493605771906723
