,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.21490211486816407,0.00868852716624761,0.0015419960021972657,0.0002079911867569339,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 2}",0.8687294842620374,0.8652634766807996,0.8413688673531192,0.8833939026852411,0.8732998885172798,0.8664097045194918,0.013925595161146114,371,0.8688739421498041,0.8693962755969868,0.8615873997658442,0.8679891316353355,0.8608024333281209,0.8657298364952183,0.0037382261732624472
1,0.33458123207092283,0.10122907933134526,0.0015089988708496093,3.518929001004225e-05,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 5}",0.907309140705238,0.8681001413284878,0.8765293761356753,0.8635271552594386,0.8935441370223979,0.8818062649361117,0.016363370901044467,353,0.9002826196791714,0.8916874682453777,0.8925511939738011,0.8566635004086681,0.8847214585844932,0.8851812481783023,0.015087556237642453
2,0.3635438919067383,0.0873558993342105,0.0015248775482177735,3.107588404678961e-05,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 8}",0.8881124514167187,0.9039471027660003,0.9080254391278012,0.9053704825358366,0.9132005675483936,0.9037234173385364,0.00842648012818528,284,0.8852437792092964,0.9078221299343922,0.915703903333407,0.9084141465462018,0.9062583544769907,0.9046884627000576,0.01025281228786492
3,0.41999311447143556,0.09163767521489495,0.0015774250030517578,8.63423461644079e-05,0.1,"(50, 50)",11,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 11}",0.9173379382564391,0.9109529578033516,0.9039975772259237,0.9203412073490812,0.9143762035066384,0.9134020966216875,0.005640156699812307,167,0.920124415814071,0.9106319998232787,0.9176522565110783,0.9264706532063886,0.9252179730336397,0.9200194596776912,0.005698798262747581
4,0.45990743637084963,0.0940987265187513,0.0015272140502929688,4.032661210572506e-05,0.1,"(50, 50)",14,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 14}",0.9211742553919889,0.916949323642237,0.9099939430648091,0.9270240258429234,0.9111178676396067,0.9172550062180994,0.006344140208575193,115,0.9171687507894405,0.9243522057036826,0.9276767766020897,0.9224303607325101,0.9314671218227767,0.9246190431300999,0.004829374795514746
5,0.3832233428955078,0.0939580180468039,0.0015607357025146484,3.823342064701452e-05,0.1,"(50, 50)",17,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 17}",0.9264907263829872,0.8886129618413083,0.9144356955380577,0.9329295376539469,0.9105300496604845,0.9146047509472585,0.015293610973862275,146,0.9220238095238096,0.8967416996178401,0.9278004815657515,0.9253860257571408,0.9339277517440363,0.9211759536417157,0.012821615043167051
6,0.35057892799377444,0.03988247709976953,0.0016188621520996094,1.895870001188534e-05,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 20}",0.9219646776889462,0.9142035130224107,0.9054613365636986,0.9224005653139511,0.8966960575656227,0.9121530774284797,0.009888985219335454,183,0.9263088922571682,0.919722105635203,0.9217654465528288,0.9230223773443195,0.918476698260251,0.921859104009954,0.0027265370976415717
7,0.4474647998809814,0.0925935688695406,0.0015994548797607423,0.00010580978935006401,0.1,"(50, 50)",23,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 23}",0.9199961737519382,0.9285786392085604,0.9046840298808801,0.9212093680597617,0.9078595317725753,0.916469317678215,0.008882207942371535,125,0.9392178224074775,0.9385407232322339,0.9262740506748548,0.9263469482427268,0.9333656373110313,0.9327490363736647,0.005633492670999502
8,0.46250405311584475,0.11607021727229454,0.0016093730926513671,6.9254979186439e-05,0.1,"(50, 50)",26,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 26}",0.919306442193447,0.9291742378356553,0.9111851403189983,0.919150010094892,0.9038005472788081,0.9165280910396754,0.008541857697101708,123,0.9439481495515978,0.9294749166096004,0.9378029114846805,0.9285891007090945,0.9282958884623728,0.9336221933634692,0.006245081668774574
9,0.45743379592895506,0.08692250383054131,0.0018335819244384766,0.0002743743383258681,0.1,"(50, 50)",29,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 29}",0.9224530277705056,0.9284877851806987,0.9145265495659196,0.9322430849989903,0.8954140062835715,0.9186332879715791,0.013054607881111967,83,0.9329622963243654,0.9422850074002076,0.9385164240429434,0.9315447657337251,0.9233746286198529,0.9337366244242189,0.006460590088751145
10,0.38530716896057127,0.07880565789925226,0.0016033649444580078,2.4700901211987568e-05,0.1,"(50, 50)",32,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 32}",0.9283585395815291,0.9220775287704421,0.9223097112860892,0.9204320613769432,0.9085537650755042,0.9203524717691904,0.0064807856013470375,53,0.9357221801187319,0.9223817623539288,0.9427533190483554,0.9258543374052883,0.9337877748465299,0.9320998747545669,0.007251405706554155
11,0.4286326885223389,0.08058114747915815,0.0016566753387451173,7.012726569492857e-05,0.1,"(50, 50)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 35}",0.9153694343194312,0.9283969311528368,0.9229961639410458,0.9335251362810418,0.9071652984696463,0.9214931407010766,0.009351113545410537,46,0.9353779840848807,0.9279992931144933,0.944379155713623,0.9347964390642606,0.9393496496794403,0.9363805043313395,0.005413931272370736
12,0.355303430557251,0.03925481822688193,0.0016867160797119141,0.00011330062283968008,0.1,"(50, 50)",38,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 38}",0.930427734257003,0.9264284272158289,0.9203412073490812,0.9105895416919039,0.9006486267355832,0.9176963556199177,0.010828338650432472,103,0.9292171908551219,0.9383441207007003,0.9318407740396297,0.9191057898341027,0.9401620831588878,0.9317339917176886,0.0074905767784859386
13,0.3954611301422119,0.11257116878026778,0.0016280174255371093,1.62121828840338e-05,0.1,"(50, 50)",41,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 41}",0.9251112632660049,0.9049565919644662,0.9251463759337774,0.9204320613769431,0.9084473497516975,0.9168239035869984,0.008508350138483698,119,0.9224216875078943,0.9135898738651176,0.9517683182751994,0.9345998365327267,0.9352641527992859,0.9315287737960448,0.012944240377448228
14,0.3478977680206299,0.0367196536184182,0.0016604900360107423,5.655328901640092e-05,0.1,"(50, 50)",44,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 44}",0.9186167106349558,0.9330203916818092,0.9268423177871996,0.9137492428831011,0.9071652984696463,0.9198823486305241,0.009184126527979548,58,0.9315081470253885,0.9412997857253309,0.9355850582076034,0.9207073273100796,0.9359047677896766,0.9330010172116158,0.006889732461000503
15,0.3412336349487305,0.08710519118578967,0.0019524574279785156,0.00029113797896549316,0.1,"(50, 50)",47,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 47}",0.9238324908874881,0.9362709469008683,0.9098122350090851,0.9092166363819906,0.916940306070741,0.9192166634801019,0.010057883503946707,74,0.9339001515725656,0.9455609799200336,0.9162495305838434,0.9092292738960437,0.9440757615499856,0.9298031395044942,0.014668244907619355
16,0.43727855682373046,0.13492731769573477,0.001636648178100586,1.0815482470446021e-05,0.1,"(50, 50)",50,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 50}",0.923933181625954,0.920704623460529,0.9235917625681404,0.9204320613769431,0.916940306070741,0.9211225587209446,0.002534733461426513,49,0.9414140457243906,0.9275795798449269,0.963937794075416,0.9307075482118006,0.9432399985876203,0.9413757932888309,0.012780200018403999
