k,GMM,Kmeans
2,0.20148560817084493,0.2020427112349118
3,0.28895078922934075,0.28040854224698236
4,0.3283194057567317,0.37493036211699166
5,0.3457753017641597,0.40278551532033424
6,0.36341689879294337,0.4204271123491179
7,0.4183844011142061,0.43268337975858867
8,0.40575673166202414,0.4330547818012999
9,0.46648096564531105,0.44623955431754875
10,0.4358402971216342,0.4733519034354689
15,0.5221912720519963,0.47595171773444755
20,0.5129062209842155,0.5064066852367688
25,0.522376973073352,0.5270194986072423
30,0.5273909006499535,0.5283194057567316
35,0.5346332404828227,0.5290622098421541
40,0.538347260909935,0.5387186629526463
