k,GMM,Kmeans
2,0.16901527582069828,0.16691275933369618
3,0.2352892153565926,0.27771502747596805
4,0.295584012297726,0.3618714104960598
5,0.31263340320861854,0.38282946549702246
6,0.3455387498500973,0.40072576572188573
7,0.3877114531867321,0.4169410116851929
8,0.3939858676189555,0.41500353461141276
9,0.4179543905554676,0.4247263241611322
10,0.4093420191302782,0.4380228935909288
15,0.45416729601135336,0.42224643629124015
20,0.4287195860413258,0.4047881570666625
25,0.42016266060403185,0.3798775632462406
30,0.40604602427908487,0.3707392023124881
35,0.3938165620323565,0.35481476731644895
40,0.3848612630128302,0.342057512820635
