k,type,score,label
2,Kmeans,0.796881,0
2,Kmeans,0.811842,1
2,Kmeans,0.812292,1
2,Kmeans,0.819023,1
2,Kmeans,0.803714,1
2,Kmeans,0.649373,0
2,Kmeans,0.797617,1
2,Kmeans,0.573105,0
2,Kmeans,0.803424,1
2,Kmeans,0.79253,0
2,Kmeans,0.076763,1
2,Kmeans,0.825467,1
2,Kmeans,0.792442,0
2,Kmeans,0.800409,0
2,Kmeans,0.817597,1
2,Kmeans,0.465469,1
2,Kmeans,0.781001,1
2,Kmeans,0.579838,1
2,Kmeans,0.814932,1
2,Kmeans,0.515827,1
2,Kmeans,0.812292,1
2,Kmeans,0.812292,1
2,Kmeans,0.808847,1
2,Kmeans,0.806896,1
2,Kmeans,0.793967,0
2,Kmeans,0.766785,0
2,Kmeans,0.814932,1
2,Kmeans,0.781192,0
2,Kmeans,0.819795,1
2,Kmeans,0.802181,1
2,Kmeans,0.618164,0
2,Kmeans,0.809395,1
2,Kmeans,0.313034,1
2,Kmeans,0.806586,1
2,Kmeans,0.809395,1
2,Kmeans,0.806069,1
2,Kmeans,0.806898,1
2,Kmeans,0.488129,1
2,Kmeans,0.704736,0
2,Kmeans,-0.022539,0
2,Kmeans,0.661126,0
2,Kmeans,0.672966,1
2,Kmeans,0.533482,1
2,Kmeans,0.805512,1
2,Kmeans,0.799068,1
2,Kmeans,0.806069,1
2,Kmeans,0.806209,1
2,Kmeans,0.823066,1
2,Kmeans,0.774601,1
2,Kmeans,0.376623,0
2,Kmeans,0.812292,1
2,Kmeans,0.809395,1
2,Kmeans,0.817597,1
2,Kmeans,0.717627,0
2,Kmeans,0.7447,1
2,Kmeans,0.797484,0
2,Kmeans,0.823425,1
2,Kmeans,0.793593,0
2,Kmeans,0.671784,1
2,Kmeans,0.7447,1
2,Kmeans,0.814932,1
2,Kmeans,0.789583,0
2,Kmeans,0.708944,1
2,Kmeans,0.576475,0
2,Kmeans,0.649147,0
2,Kmeans,0.626773,1
2,Kmeans,0.81486,1
2,Kmeans,0.533208,0
2,Kmeans,0.784125,0
2,Kmeans,0.806069,1
2,Kmeans,0.795841,0
2,Kmeans,0.579116,0
2,Kmeans,0.824324,1
2,Kmeans,0.813957,1
2,Kmeans,0.805512,1
2,Kmeans,0.821643,1
2,Kmeans,0.825617,1
2,Kmeans,0.819795,1
2,Kmeans,0.382239,1
2,Kmeans,0.824104,1
2,Kmeans,0.823425,1
2,Kmeans,0.803424,1
2,Kmeans,0.797619,0
2,Kmeans,0.766785,0
2,Kmeans,0.325993,1
2,Kmeans,0.794686,0
2,Kmeans,0.803714,1
2,Kmeans,0.542529,1
2,Kmeans,0.810308,1
2,Kmeans,0.817122,1
2,Kmeans,0.804805,1
2,Kmeans,0.713589,1
2,Kmeans,0.760485,1
2,Kmeans,0.567747,0
2,Kmeans,0.668827,1
2,Kmeans,0.566427,1
2,Kmeans,0.805149,0
2,Kmeans,0.486006,1
2,Kmeans,0.80818,1
2,Kmeans,0.436307,0
2,Kmeans,0.767728,1
2,Kmeans,0.792491,1
2,Kmeans,0.80818,1
2,Kmeans,0.797617,1
2,Kmeans,0.189039,1
2,Kmeans,0.774601,1
2,Kmeans,0.794686,0
2,Kmeans,0.80818,1
2,Kmeans,0.777185,0
2,Kmeans,0.604402,1
2,Kmeans,0.799068,1
2,Kmeans,0.823425,1
2,Kmeans,0.766087,1
2,Kmeans,0.047753,0
2,Kmeans,0.80818,1
2,Kmeans,0.806898,1
2,Kmeans,0.649373,0
2,Kmeans,0.809101,1
2,Kmeans,0.806898,1
2,Kmeans,0.670524,1
2,Kmeans,0.39379,1
2,Kmeans,0.819795,1
2,Kmeans,0.727373,1
2,Kmeans,0.805035,1
2,Kmeans,0.815414,1
2,Kmeans,0.792442,0
2,Kmeans,0.80818,1
2,Kmeans,0.80818,1
2,Kmeans,0.772719,0
2,Kmeans,0.343598,1
2,Kmeans,0.806069,1
2,Kmeans,0.767728,1
2,Kmeans,0.270515,1
2,Kmeans,0.731372,1
2,Kmeans,0.798378,0
2,Kmeans,0.648551,1
2,Kmeans,0.806069,1
2,Kmeans,0.774601,1
2,Kmeans,0.81486,1
2,Kmeans,0.787554,0
2,Kmeans,0.797617,1
2,Kmeans,0.792491,1
2,Kmeans,0.651274,0
2,Kmeans,0.636713,1
2,Kmeans,0.795929,0
2,Kmeans,0.714486,1
2,Kmeans,0.699195,1
2,Kmeans,0.81994,1
2,Kmeans,0.782217,1
2,Kmeans,0.80818,1
2,Kmeans,0.793288,1
2,Kmeans,0.806209,1
2,Kmeans,0.793593,0
2,Kmeans,0.773322,1
2,Kmeans,0.792729,0
2,Kmeans,0.797617,1
2,Kmeans,0.801436,1
2,Kmeans,0.81644,1
2,Kmeans,0.802181,1
2,Kmeans,0.784125,0
2,Kmeans,0.727373,1
