k,GMM,Kmeans
2,0.7125701328623301,0.7163100347998105
3,0.33670746915654326,0.5853802576185434
4,0.29002173811617593,0.5795987882305118
5,0.24686236611733592,0.5642706526691704
6,0.1362966527900898,0.564444040516659
7,0.1757884753105978,0.5507266432374117
8,0.09417262857727884,0.5164310532470076
9,0.13206965409253535,0.5191232203230481
10,0.09458277493911599,0.5063677916584519
15,0.25936250474003947,0.47019500944449316
20,0.10666050125875269,0.4626477564257932
25,0.22906106353788352,0.4580160263675297
30,0.10972131380289644,0.4608146969612268
35,0.2553694695758471,0.45021836629386636
40,0.20649845591270533,0.452477581837007
