k,GMM,Kmeans
2,0.84472049689441,0.8473824312333629
3,0.8362910381543922,0.8460514640638864
4,0.8731144631765749,0.8442768411712511
5,0.839396628216504,0.8429458740017747
6,0.9050576752440106,0.8145519077196096
7,0.8997338065661047,0.8194321206743567
8,0.8873114463176575,0.8234250221827861
9,0.8873114463176575,0.7994676131322094
10,0.8957409050576752,0.7839396628216504
15,0.8566992014196984,0.8433895297249334
20,0.9001774622892635,0.8074534161490683
25,0.8957409050576752,0.8145519077196096
30,0.8957409050576752,0.8176574977817214
35,0.9001774622892635,0.8433895297249334
40,0.8926353149955635,0.831410825199645
