k,GMM,Kmeans
2,0.36496155610441816,0.362822729942997
3,0.30764246743830986,0.3595501930787416
4,0.23969692263030307,0.31790207739735366
5,0.23092449138806725,0.31266166612290813
6,0.2614596863815078,0.19074765830551368
7,0.23586496443789465,0.20083764960507874
8,0.22383322624476257,0.20124490616663268
9,0.22191769967302494,0.15820632835215714
10,0.22349435259467038,0.1481951953930564
15,0.16110052566926703,0.14628400598249577
20,0.16980058573466766,0.10631941893042116
25,0.14956096937007352,0.10799227037080011
30,0.1451033703324487,0.10227321355058175
35,0.14154645123092396,0.0988858732851275
40,0.13008742560925607,0.09986125296034214
