k,type,score,label
2,Kmeans,0.540851,0
2,Kmeans,-0.062363,1
2,Kmeans,0.494076,0
2,Kmeans,0.612559,0
2,Kmeans,0.457043,0
2,Kmeans,0.523121,0
2,Kmeans,0.60683,0
2,Kmeans,0.458602,0
2,Kmeans,-0.034846,1
2,Kmeans,0.282458,0
2,Kmeans,0.50631,0
2,Kmeans,-0.062731,1
2,Kmeans,-0.015702,1
2,Kmeans,0.548687,0
2,Kmeans,0.327128,0
2,Kmeans,0.597689,0
2,Kmeans,-0.156074,1
2,Kmeans,0.613744,0
2,Kmeans,0.232661,0
2,Kmeans,0.521184,0
2,Kmeans,0.359205,0
2,Kmeans,0.612624,0
2,Kmeans,-0.110742,1
2,Kmeans,0.607638,0
2,Kmeans,-0.212862,1
2,Kmeans,0.589161,0
2,Kmeans,-0.057342,1
2,Kmeans,0.617808,0
2,Kmeans,0.531176,0
2,Kmeans,0.568616,0
2,Kmeans,0.469341,0
2,Kmeans,-0.267371,1
2,Kmeans,0.512068,0
2,Kmeans,-0.085724,1
2,Kmeans,0.097152,1
2,Kmeans,-0.132273,1
2,Kmeans,0.049372,1
2,Kmeans,0.614585,0
2,Kmeans,0.574141,0
2,Kmeans,-0.108198,1
2,Kmeans,0.595319,0
2,Kmeans,0.318472,0
2,Kmeans,0.432182,0
2,Kmeans,0.358059,0
2,Kmeans,0.479621,0
2,Kmeans,0.54184,0
2,Kmeans,0.302548,0
2,Kmeans,0.561976,0
2,Kmeans,-0.023728,1
2,Kmeans,0.426688,0
2,Kmeans,0.426231,0
2,Kmeans,0.58673,0
2,Kmeans,-0.192321,1
2,Kmeans,0.612956,0
2,Kmeans,0.466861,0
2,Kmeans,0.547837,0
2,Kmeans,-0.077905,1
2,Kmeans,0.5888,0
2,Kmeans,-0.061865,1
2,Kmeans,0.613432,0
2,Kmeans,0.230318,0
2,Kmeans,0.613391,0
2,Kmeans,0.046572,1
2,Kmeans,0.614533,0
2,Kmeans,0.428414,0
2,Kmeans,0.526804,0
2,Kmeans,0.612545,0
2,Kmeans,0.021972,1
2,Kmeans,-0.33042,1
2,Kmeans,0.614398,0
2,Kmeans,0.604123,0
2,Kmeans,-0.104032,1
2,Kmeans,0.489237,0
2,Kmeans,0.489667,0
2,Kmeans,0.476727,0
2,Kmeans,0.301484,0
2,Kmeans,0.515225,0
2,Kmeans,-0.010423,1
2,Kmeans,0.506846,0
2,Kmeans,-0.022118,1
2,Kmeans,0.313133,0
2,Kmeans,0.61469,0
2,Kmeans,0.613359,0
2,Kmeans,0.230318,0
2,Kmeans,-0.088882,1
2,Kmeans,0.416852,0
2,Kmeans,0.061861,1
2,Kmeans,0.317908,0
2,Kmeans,0.320334,0
2,Kmeans,0.611577,0
2,Kmeans,0.257732,0
2,Kmeans,-0.1068,1
2,Kmeans,-0.043183,1
2,Kmeans,0.552105,0
2,Kmeans,0.314223,0
2,Kmeans,-0.319713,1
2,Kmeans,-0.207497,1
2,Kmeans,0.527821,0
2,Kmeans,0.145638,0
2,Kmeans,-0.004588,1
2,Kmeans,0.038276,1
2,Kmeans,0.488206,0
2,Kmeans,-0.286446,1
2,Kmeans,-0.048968,1
2,Kmeans,0.513224,0
2,Kmeans,-0.184861,1
2,Kmeans,-0.219058,1
2,Kmeans,0.344834,0
2,Kmeans,0.584618,0
2,Kmeans,0.481362,0
2,Kmeans,0.613817,0
2,Kmeans,-0.101021,1
2,Kmeans,-0.113706,1
2,Kmeans,0.257546,0
2,Kmeans,0.55642,0
2,Kmeans,-0.056683,1
2,Kmeans,0.484513,0
2,Kmeans,0.567537,0
