k,GMM,Kmeans
2,0.1504487658222978,0.27108561894411964
3,0.06857490323811435,0.2671873444258377
4,0.037628727696106784,0.29788690069035284
5,0.005508257337950721,0.29559758583607665
6,-0.0011065603330661427,0.2831159810222813
7,0.025703708407668426,0.28825910561959417
8,0.030848226995502544,0.3081278799853893
9,0.03452352704623594,0.28385734053778633
10,-0.01997825365694027,0.256199738564681
15,-0.12133400978948676,0.28135307332791004
20,-0.05438953990007639,0.2197861293526289
25,-0.03607765348150608,0.2585545928525973
30,-0.0607921019361296,0.25159932607326085
35,-0.05270855944382176,0.2429267158243245
40,-0.0531842344940049,0.2616740782596845
