k,GMM,Kmeans
2,0.20649953574744662,0.1990714948932219
3,0.298050139275766,0.27818012999071495
4,0.39721448467966575,0.357288765088208
5,0.4064995357474466,0.4051996285979573
6,0.4278551532033426,0.4285979572887651
7,0.5117920148560817,0.4323119777158774
8,0.5751160631383473,0.46648096564531105
9,0.6575673166202414,0.540761374187558
10,0.649025069637883,0.5870009285051068
15,0.7803156917363046,0.6763231197771588
20,0.7875580315691736,0.6958217270194986
25,0.8204271123491179,0.7279480037140205
30,0.8365831012070566,0.7545032497678738
35,0.8549675023212627,0.7712163416898793
40,0.8824512534818941,0.7883008356545961
