k,GMM,Kmeans
2,0.18064650540316207,0.11584255402850403
3,0.30569597893037787,0.18910291705809482
4,0.38689532138775284,0.2712871496248318
5,0.41333064067361197,0.31311020338254214
6,0.4564900324391819,0.3389145604783114
7,0.5229634417711804,0.3704085898672299
8,0.5722847590899869,0.4028729319207451
9,0.6441210688744222,0.4504887907547015
10,0.6206522435314914,0.4986061888182521
15,0.6469356975292028,0.5203727930982669
20,0.6082061927874468,0.49578683163981785
25,0.602861522354809,0.491214444031157
30,0.5861981594538058,0.48725665273055946
35,0.5812621050383783,0.4854460207053382
40,0.5883193179864808,0.47435603690316563
