,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_gmm__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,1.6232688903808594,0.44275313341780287,0.0054591655731201175,0.0004933138541450035,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 2}",0.2162853739181173,0.21696428571428578,0.2206137309292649,0.21541262135922332,0.2142857142857143,0.21671242798850496,0.0021446476693196023,282,0.2150912679228215,0.21476106129810857,0.21834636059504467,0.2203744858754707,0.21093600859051861,0.2159018368563928,0.003243397194094356
1,1.5414049625396729,0.2484704844410812,0.006833505630493164,0.0010131341651233227,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 3}",0.29657383545657884,0.31053624773284977,0.30454230235783636,0.29910714285714285,0.30209778085991673,0.30256966973396776,0.004811945364828883,267,0.29488204941347934,0.30873236483264954,0.3090287716844157,0.299557051384028,0.3058314103395247,0.30360632953081945,0.00553425367155994
2,2.115167570114136,0.8823230655435188,0.0067269325256347655,0.0007906865734138086,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 4}",0.37671399397063116,0.4292262349301185,0.37721047156726767,0.3930131761442442,0.41274271844660193,0.3977745125101851,0.020517301210862492,251,0.3827179176755448,0.4189060840069674,0.38304358465695304,0.390950078216793,0.4122354329783448,0.39757061950692063,0.01513755501910815
3,1.5863494396209716,0.2198015867467194,0.008263111114501953,0.0015481774862100587,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 5}",0.3966078722162793,0.39945054945054953,0.4256761442441054,0.3924497226074896,0.3972662936861966,0.40228155373808666,0.011901497824922665,234,0.39592082304142223,0.3929512870274001,0.4368354896202361,0.39576719016340267,0.3984083490687841,0.403976627784249,0.01652004554424315
4,2.441947841644287,0.6181361320546622,0.007527875900268555,0.0006180681392314274,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 6}",0.531030584459788,0.43328043315907405,0.4232056171983357,0.44763349514563106,0.38336511789181693,0.4438200301113663,0.04865300823020407,201,0.5165345132132466,0.43453805948815094,0.42936509262688255,0.4567056900455561,0.388370684317921,0.4451028079383515,0.04198794787840396
5,1.9677622318267822,0.24247575746971092,0.006863164901733399,0.0003229664009913128,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 7}",0.3855763152776427,0.5466726234930119,0.5379247572815534,0.42581484049930657,0.5414615117891818,0.48739146985243725,0.06809430189008792,198,0.38615885226232455,0.5418051719701918,0.5375008741917089,0.4399782426197898,0.5413319644849108,0.48935502110578516,0.06458817175881401
6,2.306241178512573,0.3171925657981186,0.007886075973510742,0.001222120972224304,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 8}",0.5194787513371584,0.5766270137629362,0.5921549930651873,0.5570041608876561,0.5927085285701792,0.5675341888543534,0.027388300915341467,168,0.5078947589507677,0.5720176374572736,0.5767008154535346,0.5704059438711562,0.5995481545417368,0.5653134620548937,0.03055968845433099
7,2.5767114639282225,0.7085710192437077,0.007748556137084961,0.00021138317612042767,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 9}",0.6777126081882721,0.6911187720046944,0.6871792649098474,0.6938973647711513,0.6100275986805114,0.67202028132641,0.03142437420978088,147,0.6490608460203356,0.7002108240261872,0.7056167158750355,0.7056528152089768,0.602244410726924,0.6725571223714919,0.04110703405355741
8,3.424646759033203,0.5168043501741355,0.008468818664550782,0.0016268119465681725,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 10}",0.7220357629096569,0.7145984476688362,0.6547936893203883,0.7064407073509016,0.6322943609351377,0.686110592491903,0.03574707588946533,125,0.710129386450507,0.703170772146619,0.6769257300035536,0.7103900184850059,0.6250779547308527,0.6851387723633076,0.03244091588972599
9,4.788686609268188,0.7916546761232391,0.010347652435302734,0.0013345309740286822,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 15}",0.8108935865019936,0.817826469646858,0.8232142857142858,0.7813540221914009,0.752961196286439,0.7972911563889258,0.026428469463998572,90,0.7962174394231366,0.8055691518073054,0.822479264392278,0.7965726718380711,0.7428261094178268,0.7927329273757237,0.026710257070974516
