k,type,score,label
2,Kmeans,0.230736,1
2,Kmeans,0.54096,0
2,Kmeans,0.156942,0
2,Kmeans,0.526302,1
2,Kmeans,0.512735,0
2,Kmeans,0.574977,0
2,Kmeans,0.111968,0
2,Kmeans,0.521431,0
2,Kmeans,0.436696,1
2,Kmeans,0.48275,0
2,Kmeans,0.464305,0
2,Kmeans,0.569674,0
2,Kmeans,0.521697,0
2,Kmeans,0.565407,1
2,Kmeans,0.100414,1
2,Kmeans,0.44103,0
2,Kmeans,0.138088,1
2,Kmeans,0.549139,0
2,Kmeans,0.161675,0
2,Kmeans,0.44376,1
2,Kmeans,0.488344,0
2,Kmeans,0.490832,0
2,Kmeans,0.422749,0
2,Kmeans,0.026559,1
2,Kmeans,0.172325,1
2,Kmeans,0.349627,0
2,Kmeans,0.392306,0
2,Kmeans,0.297157,0
2,Kmeans,0.519176,0
2,Kmeans,0.466132,0
2,Kmeans,0.402281,1
2,Kmeans,0.603771,0
2,Kmeans,0.102813,0
2,Kmeans,0.514511,0
2,Kmeans,0.537894,0
2,Kmeans,0.417592,1
2,Kmeans,0.538013,0
2,Kmeans,0.134657,0
2,Kmeans,0.367731,0
2,Kmeans,0.260701,1
2,Kmeans,0.523673,0
2,Kmeans,0.267619,0
2,Kmeans,0.334359,0
2,Kmeans,0.554296,1
2,Kmeans,0.418026,0
2,Kmeans,0.559518,0
2,Kmeans,0.539135,1
2,Kmeans,0.500661,0
2,Kmeans,0.51137,1
2,Kmeans,0.564206,0
2,Kmeans,0.477564,0
2,Kmeans,0.361762,0
2,Kmeans,0.489808,0
2,Kmeans,0.402893,0
2,Kmeans,0.539303,1
2,Kmeans,0.022075,0
2,Kmeans,0.523974,1
2,Kmeans,0.252373,0
2,Kmeans,0.173382,1
2,Kmeans,0.311088,0
2,Kmeans,0.46383,1
2,Kmeans,0.479275,1
2,Kmeans,0.469457,1
2,Kmeans,0.037189,0
2,Kmeans,0.420504,0
2,Kmeans,0.471805,0
2,Kmeans,0.389944,1
2,Kmeans,0.506256,0
2,Kmeans,0.542064,0
2,Kmeans,0.454614,0
2,Kmeans,0.540071,0
2,Kmeans,0.360355,0
2,Kmeans,0.362398,0
2,Kmeans,0.564612,0
2,Kmeans,0.59134,0
2,Kmeans,0.571097,1
2,Kmeans,0.269347,0
2,Kmeans,0.48324,0
2,Kmeans,0.547469,0
2,Kmeans,0.496002,1
2,Kmeans,0.067614,1
2,Kmeans,0.504311,1
2,Kmeans,0.527999,1
2,Kmeans,0.383706,1
2,Kmeans,0.488305,0
2,Kmeans,0.111507,1
2,Kmeans,0.436571,0
2,Kmeans,-0.037647,1
2,Kmeans,0.047138,1
2,Kmeans,0.15277,1
2,Kmeans,0.492551,0
2,Kmeans,0.518031,0
2,Kmeans,0.512242,0
2,Kmeans,0.388648,1
2,Kmeans,0.455224,0
2,Kmeans,0.464405,1
2,Kmeans,0.24279,0
2,Kmeans,0.521999,0
2,Kmeans,0.439704,0
2,Kmeans,0.549551,0
2,Kmeans,0.520205,0
2,Kmeans,0.195135,1
2,Kmeans,0.429307,0
2,Kmeans,0.46102,0
2,Kmeans,0.468149,0
2,Kmeans,0.496791,0
2,Kmeans,0.54338,1
2,Kmeans,0.545686,0
2,Kmeans,0.549325,0
2,Kmeans,0.359326,0
2,Kmeans,0.276188,1
2,Kmeans,0.578414,0
2,Kmeans,0.345085,0
2,Kmeans,0.542087,1
2,Kmeans,0.382932,1
2,Kmeans,0.411329,0
2,Kmeans,0.537359,0
2,Kmeans,0.560084,0
2,Kmeans,0.423953,1
2,Kmeans,0.537483,1
2,Kmeans,0.53836,0
2,Kmeans,0.083622,0
2,Kmeans,0.431176,0
2,Kmeans,0.394285,1
2,Kmeans,0.350852,0
2,Kmeans,0.491442,1
2,Kmeans,0.361456,0
2,Kmeans,0.527754,0
2,Kmeans,0.492937,1
2,Kmeans,0.213366,0
2,Kmeans,0.385872,0
2,Kmeans,0.587689,0
2,Kmeans,0.08966,1
2,Kmeans,0.194905,0
2,Kmeans,0.523876,0
2,Kmeans,0.415637,1
2,Kmeans,0.38329,1
2,Kmeans,0.47869,0
2,Kmeans,0.520485,0
2,Kmeans,0.407638,0
2,Kmeans,0.076803,1
2,Kmeans,0.50371,1
2,Kmeans,0.335852,0
2,Kmeans,0.413255,0
2,Kmeans,0.529828,0
2,Kmeans,0.517468,0
2,Kmeans,0.450066,0
2,Kmeans,0.563981,0
2,Kmeans,0.54431,0
2,Kmeans,0.521478,0
2,Kmeans,0.475168,0
2,Kmeans,0.481847,0
2,Kmeans,0.586518,0
2,Kmeans,0.392247,1
2,Kmeans,0.305626,1
2,Kmeans,0.459261,1
2,Kmeans,0.428123,1
2,Kmeans,0.463034,0
2,Kmeans,0.494599,1
2,Kmeans,0.543991,0
2,Kmeans,0.53794,0
2,Kmeans,0.250659,0
2,Kmeans,0.318178,1
2,Kmeans,0.591841,0
2,Kmeans,0.421345,0
2,Kmeans,0.480131,0
2,Kmeans,0.506383,1
2,Kmeans,0.524382,0
2,Kmeans,0.238579,1
2,Kmeans,0.505824,1
2,Kmeans,0.366522,0
2,Kmeans,0.528354,0
