k,GMM,Kmeans
2,0.31548041066817734,0.43050341431474265
3,0.20304121860558705,0.2885827233919888
4,0.20295256418130087,0.277129986550044
5,0.15109912830054453,0.2786553316475832
6,0.10382070592700555,0.2721047227008761
7,0.09594308606772237,0.25871609779739124
8,0.06481870085024902,0.24006885131825598
9,0.08806039236366588,0.23587352475254195
10,0.05781212521707915,0.2412275602251652
15,0.07372208165563247,0.2420629192295513
20,0.036891182960762124,0.2302002677489846
25,0.02981151234280192,0.23311691100360665
30,0.028847398836623676,0.22577881835948832
35,0.04613380980014805,0.22736856967466412
40,0.034833624681020706,0.2113287460809984
