k,GMM,Kmeans
2,0.6060337178349601,0.6060337178349601
3,0.6060337178349601,0.6060337178349601
4,0.6060337178349601,0.6889973380656611
5,0.6313220940550133,0.7271517302573203
6,0.6974267968056788,0.7346938775510204
7,0.7054125998225377,0.7036379769299024
8,0.7240461401952085,0.7129547471162379
9,0.735581188997338,0.7089618456078084
10,0.7187222715173026,0.7227151730257321
15,0.7102928127772848,0.764418811002662
20,0.7830523513753327,0.7471162377994676
25,0.743566992014197,0.7741792369121562
30,0.7817213842058562,0.7675244010647737
35,0.7972493345164152,0.7817213842058562
40,0.7954747116237799,0.7852706299911268
