k,GMM,Kmeans
2,0.020378936503126156,0.03594532741952128
3,0.0609743257930456,0.029655905051438728
4,0.0445079189683674,0.06450600091712244
5,0.049258130152892245,0.07484473282651623
6,0.07304900424001544,0.07495231822599865
7,0.06852769076947396,0.061632830442068486
8,0.07681812272651319,0.06607526352783588
9,0.07485885411055394,0.05719706206311286
10,0.0688996179849176,0.06623690294739064
15,0.05554351566342014,0.07201974598777439
20,0.06964249350072663,0.06333381662664897
25,0.058153102647061625,0.06971853869081984
30,0.07257704078286774,0.0630290947166861
35,0.07703296025190012,0.06630002102768029
40,0.06955082782411363,0.06591199146441992
