k,type,score,label
2,Kmeans,0.383958,1
2,Kmeans,0.462842,1
2,Kmeans,0.167247,1
2,Kmeans,0.378968,1
2,Kmeans,0.375826,1
2,Kmeans,0.36957,1
2,Kmeans,0.423253,1
2,Kmeans,-0.000606,0
2,Kmeans,0.034125,0
2,Kmeans,0.374597,1
2,Kmeans,0.442342,1
2,Kmeans,0.462842,1
2,Kmeans,0.469684,1
2,Kmeans,0.292732,1
2,Kmeans,-0.093956,0
2,Kmeans,0.299922,1
2,Kmeans,0.303118,1
2,Kmeans,0.434399,1
2,Kmeans,0.318893,1
2,Kmeans,0.346291,1
2,Kmeans,0.104292,0
2,Kmeans,-0.163863,0
2,Kmeans,0.46291,1
2,Kmeans,0.485315,1
2,Kmeans,-0.04635,0
2,Kmeans,-0.069368,0
2,Kmeans,0.342637,1
2,Kmeans,-0.229289,0
2,Kmeans,0.062201,0
2,Kmeans,0.334466,1
2,Kmeans,0.467982,1
2,Kmeans,0.471671,1
2,Kmeans,-0.070304,0
2,Kmeans,0.455267,1
2,Kmeans,0.462842,1
2,Kmeans,0.092812,0
2,Kmeans,0.185472,1
2,Kmeans,0.331446,1
2,Kmeans,0.486174,1
2,Kmeans,0.338307,1
2,Kmeans,0.470387,1
2,Kmeans,-0.197055,0
2,Kmeans,-0.012643,0
2,Kmeans,0.298972,1
2,Kmeans,0.347637,1
2,Kmeans,0.365511,1
2,Kmeans,-0.059543,0
2,Kmeans,0.129671,0
2,Kmeans,0.4936,1
2,Kmeans,0.337941,1
2,Kmeans,-0.061508,0
2,Kmeans,0.462933,1
2,Kmeans,0.462971,1
2,Kmeans,-0.12594,0
2,Kmeans,0.073585,0
2,Kmeans,-0.054308,0
2,Kmeans,0.157297,1
2,Kmeans,0.472092,1
2,Kmeans,0.462042,1
2,Kmeans,0.376217,1
2,Kmeans,0.46291,1
2,Kmeans,0.317556,1
2,Kmeans,0.358713,1
2,Kmeans,-0.048493,0
2,Kmeans,0.462972,1
2,Kmeans,0.043013,0
2,Kmeans,0.471333,1
2,Kmeans,0.335914,1
2,Kmeans,0.218761,1
2,Kmeans,0.445453,1
2,Kmeans,0.462269,1
2,Kmeans,-0.231127,0
2,Kmeans,0.461981,1
2,Kmeans,0.437968,1
2,Kmeans,0.495491,1
2,Kmeans,0.011387,0
2,Kmeans,0.108691,0
2,Kmeans,0.286515,1
2,Kmeans,0.347891,1
2,Kmeans,0.278505,1
2,Kmeans,-0.108874,0
2,Kmeans,-0.17664,0
2,Kmeans,0.462842,1
2,Kmeans,0.417675,1
2,Kmeans,0.301986,1
2,Kmeans,0.416961,1
2,Kmeans,0.34586,1
2,Kmeans,0.34615,1
2,Kmeans,0.298322,1
2,Kmeans,0.255457,1
2,Kmeans,0.378018,1
2,Kmeans,0.327255,1
2,Kmeans,-0.232298,0
2,Kmeans,0.348613,1
2,Kmeans,0.270443,1
2,Kmeans,-0.141598,0
2,Kmeans,-0.222225,0
2,Kmeans,0.138519,1
2,Kmeans,0.171322,0
2,Kmeans,0.279385,1
2,Kmeans,0.462507,1
2,Kmeans,-0.099617,0
2,Kmeans,0.34436,1
2,Kmeans,0.262,1
2,Kmeans,-0.131908,0
2,Kmeans,0.462102,1
2,Kmeans,0.460688,1
2,Kmeans,0.36765,1
2,Kmeans,0.09364,0
2,Kmeans,0.126097,0
2,Kmeans,0.492724,1
2,Kmeans,0.36299,1
2,Kmeans,0.219545,1
2,Kmeans,0.462763,1
2,Kmeans,0.426207,1
2,Kmeans,0.362238,1
2,Kmeans,0.46291,1
2,Kmeans,0.462878,1
2,Kmeans,0.207435,1
2,Kmeans,-0.138071,0
2,Kmeans,-0.021283,0
2,Kmeans,0.122867,0
2,Kmeans,0.410358,1
2,Kmeans,0.42767,1
2,Kmeans,0.37856,1
2,Kmeans,0.438317,1
2,Kmeans,-0.149669,0
2,Kmeans,0.259594,1
2,Kmeans,0.378048,1
2,Kmeans,-0.015571,0
2,Kmeans,0.497925,1
2,Kmeans,-0.048502,0
2,Kmeans,0.275247,1
2,Kmeans,0.422308,1
2,Kmeans,0.475277,1
2,Kmeans,-0.184955,0
2,Kmeans,0.429428,1
2,Kmeans,-0.054308,0
2,Kmeans,0.35459,1
2,Kmeans,0.358395,1
2,Kmeans,-0.181777,0
2,Kmeans,0.414206,1
2,Kmeans,0.453656,1
2,Kmeans,-0.100238,0
2,Kmeans,0.371621,1
2,Kmeans,0.270831,1
2,Kmeans,0.156369,0
2,Kmeans,0.490996,1
2,Kmeans,0.445704,1
2,Kmeans,0.310901,1
2,Kmeans,0.461512,1
2,Kmeans,0.459694,1
2,Kmeans,0.387512,1
2,Kmeans,0.319959,1
2,Kmeans,0.462842,1
2,Kmeans,0.335704,1
2,Kmeans,0.390851,1
2,Kmeans,-0.053652,0
2,Kmeans,-0.147985,0
2,Kmeans,0.41191,1
2,Kmeans,-0.085012,0
2,Kmeans,0.360202,1
2,Kmeans,0.495264,1
2,Kmeans,0.449906,1
2,Kmeans,0.392553,1
2,Kmeans,0.378485,1
2,Kmeans,-0.22529,0
2,Kmeans,0.46291,1
2,Kmeans,0.414121,1
2,Kmeans,0.462343,1
2,Kmeans,0.441793,1
2,Kmeans,-0.160439,0
2,Kmeans,0.461218,1
