k,GMM,Kmeans
2,0.24682573869602897,0.27196998905217495
3,-0.05597768461724152,0.20590652573700494
4,-0.04803190711935658,0.1964127936219594
5,-0.046954062460854845,0.20944590622507256
6,-0.04191942583575439,0.2032325129749086
7,-0.061885664789119076,0.22617609467542257
8,-0.06854293302510084,0.24664311388893448
9,-0.05738382358375283,0.23814739195867052
10,-0.07192227318632664,0.2525228788526286
15,-0.03854660989768494,0.20759625447749042
20,-0.01726410389481443,0.17610128092016505
25,-0.034282159953283126,0.17313219824904905
30,-0.050662168291053064,0.16240916129751112
35,-0.031249257360908434,0.16567495083250203
40,-0.012656502858344387,0.18632033729220482
