steps,time,reward,delta,converged
1,0.008438999999999197,1.1194551871559837,0.10622485871518939,False
2,0.01342599999999905,1.5416254545926664,5.2694626634114e-06,False
3,0.012695999999998264,1.541635584624082,5.2695084786257614e-06,False
4,0.012685999999998643,1.54163575210797,5.269508478752179e-06,False
5,0.012682000000001636,1.541635584624082,5.2695084786257614e-06,False
6,0.012546999999997865,1.54163575210797,5.269508478752179e-06,False
7,0.012439000000000533,1.541635584624082,5.2695084786257614e-06,False
8,0.012342000000000297,1.54163575210797,5.269508478752179e-06,False
9,0.012825000000002973,1.541635584624082,5.2695084786257614e-06,False
10,0.012892999999998267,1.54163575210797,5.269508478752179e-06,False
11,0.013495000000002477,1.541635584624082,5.2695084786257614e-06,False
12,0.012438000000003058,1.54163575210797,5.269508478752179e-06,True
