params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""discount_factor"": 0.0}",4.037400000000002,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.1}",4.034821999999998,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.2}",4.031784000000002,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.3}",4.064118000000001,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.4}",4.097631,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.5}",4.180367000000004,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.6}",4.2403189999999995,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.7}",4.3842500000000015,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.8}",4.779181000000001,100,0.00014077890700342775,0.0,0.0,0.0051813471502590676,0.000721868644369339
"{""discount_factor"": 0.9}",5.190394999999995,100,0.0013027906331097411,0.0,0.0,0.00847457627118644,0.0024747107773701025
