steps,time,reward,delta,converged
1,0.0024730000000090513,0.0,0,False
2,0.0013329999999882602,0.0,0,False
3,0.002666000000033364,0.0,0,False
4,0.003615000000024793,0.0,0,False
5,0.008631999999977324,0.0,0,False
6,0.002345999999988635,0.0,0,False
7,0.003754000000014912,0.0,0,False
8,0.0021380000000021937,0.0,0,False
9,0.00847100000004275,0.0,0,False
10,0.004312999999967815,0.0,0,False
11,0.004668999999978496,0.0,0,False
12,0.008985999999993055,0.0,0,False
13,0.0018319999999789616,0.0,0,False
14,0.005806000000006861,0.0,0,False
15,0.00298099999997703,0.0,0,False
16,0.0016050000000404907,0.0,0,False
17,0.0017929999999637403,0.0,0,False
18,0.004898999999966236,0.0,0,False
19,0.0036429999999540996,0.0,0,False
20,0.002078999999980624,0.0,0,False
21,0.0049500000000080036,0.0,0,False
22,0.010777000000018688,0.0,0,False
23,0.0018850000000156797,0.0,0,False
24,0.006855999999970663,0.0,0,False
25,0.0037409999999908905,0.0,0,False
26,0.0009170000000153777,0.0,0,False
27,0.0032350000000178625,0.0,0,False
28,0.005458999999973457,0.0,0,False
29,0.0076369999999883476,0.0,0,False
30,0.004423000000031152,0.0,0,False
31,0.0012609999999995125,0.0,0,False
32,0.00544800000000123,0.0,0,False
33,0.002658999999994194,0.0,0,False
34,0.0009810000000243235,0.0,0,False
35,0.0013260000000059335,0.0,0,False
36,0.01321500000000242,0.0,0,False
37,0.007307999999966341,0.0,0,False
38,0.0030639999999948486,0.0,0,False
39,0.01087000000001126,0.0,0,False
40,0.010006999999973232,0.0,0,False
41,0.003195000000005166,0.0,0,False
42,0.0020949999999970714,0.0,0,False
43,0.003769999999974516,0.0,0,False
44,0.0034509999999841057,0.0,0,False
45,0.0011069999999904212,0.0,0,False
46,0.003310999999996511,0.0,0,False
47,0.0012460000000373839,0.0,0,False
48,0.0045170000000211985,0.0,0,False
49,0.002678000000003067,0.0,0,False
50,0.0007699999999886131,0.0,0,False
51,0.01825900000000047,0.0,0,False
52,0.001404999999977008,0.0,0,False
53,0.007985000000019227,0.0,0,False
54,0.004029000000002725,0.0,0,False
55,0.005175999999948999,0.0,0,False
56,0.0029940000000010514,0.0,0,False
57,0.004375999999979285,0.0,0,False
58,0.0050190000000043256,0.0,0,False
59,0.0032509999999774664,0.0,0,False
60,0.0018289999999865358,0.0,0,False
61,0.002338000000008833,0.0,0,False
62,0.0018570000000295295,0.0,0,False
63,0.004207000000008065,0.0,0,False
64,0.0016289999999798965,0.0,0,False
65,0.003501000000028398,0.0,0,False
66,0.003161999999974796,0.0,0,False
67,0.0040399999999749525,0.0,0,False
68,0.0007650000000012369,0.0,0,False
69,0.004675000000020191,0.0,0,False
70,0.006379999999978736,0.0,0,False
71,0.0046399999999948704,0.0,0,False
72,0.0035900000000310683,0.0,0,False
73,0.005718000000001666,0.0,0,False
74,0.001810999999975138,0.0,0,False
75,0.006156999999973323,0.0,0,False
76,0.004019000000027972,0.0,0,False
77,0.005073999999979151,0.0,0,False
78,0.00928500000003396,0.0,0,False
79,0.007610999999997148,0.0,0,False
80,0.002992000000006101,0.0,0,False
81,0.005594999999971151,0.0,0,False
82,0.0018710000000510263,0.0,0,False
83,0.005400000000008731,0.0,0,False
84,0.004728999999997541,0.0,0,False
85,0.0034060000000408763,0.0,0,False
86,0.0006160000000363652,0.0,0,False
87,0.0171799999999962,0.0,0,False
88,0.0016640000000052169,0.0,0,False
89,0.0009550000000331238,0.0,0,False
90,0.004871000000036929,0.0,0,False
91,0.00669199999998682,0.0,0,False
92,0.0035940000000209693,0.0,0,False
93,0.007384999999999309,0.0,0,False
94,0.004604000000028918,0.0,0,False
95,0.0009089999999787324,0.0,0,False
96,0.0007689999999911379,0.0,0,False
97,0.004420999999979358,0.0,0,False
98,0.0026899999999727697,0.0,0,False
99,0.0037179999999921165,0.0,0,False
100,0.00331200000005083,0.0,0,False
101,0.0012469999999780157,0.0,0,False
102,0.002965000000017426,0.0,0,False
103,0.0016949999999837928,0.0,0,False
104,0.018683000000009997,0.0,0,False
105,0.005958000000021002,0.0,0,False
106,0.007466000000022177,0.0,0,False
107,0.004861000000005333,0.0,0,False
108,0.013607999999976528,0.0,0,False
109,0.0018279999999890606,0.0,0,False
110,0.00794100000001663,0.0,0,False
111,0.003869000000008782,0.0,0,False
112,0.0028469999999742868,0.0,0,False
113,0.010682999999971798,0.0,0,False
114,0.020875000000046384,0.0,0,False
115,0.001495000000033997,0.0,0,False
116,0.005553999999960979,0.0,0,False
117,0.03472999999996773,0.0,0,False
118,0.005243000000007214,0.0,0,False
119,0.0017970000000104847,0.0,0,False
120,0.0043100000000322325,0.0,0,False
121,0.0028829999999970823,0.0,0,False
122,0.014037999999970907,0.0,0,False
123,0.0034140000000206783,0.0,0,False
124,0.0007889999999974862,0.0,0,False
125,0.016919000000029882,0.0,0,False
126,0.002051999999991949,0.0,0,False
127,0.012942000000009557,0.0,0,False
128,0.004166999999995369,0.0,0,False
129,0.0011769999999842184,0.0,0,False
130,0.0012760000000184846,0.0,0,False
131,0.0017490000000179862,0.0,0,False
132,0.0014919999999847278,0.0,0,False
133,0.005010000000027048,0.0,0,False
134,0.007683999999983371,0.0,0,False
135,0.005601000000012846,0.0,0,False
136,0.005620000000021719,0.0,0,False
137,0.0036519999999882202,0.0,0,False
138,0.001990999999975429,0.0,0,False
139,0.01857799999999088,0.0,0,False
140,0.0036410000000159926,0.0,0,False
141,0.0039669999999887295,0.0,0,False
142,0.003578000000004522,0.0,0,False
143,0.0011780000000385371,0.0,0,False
144,0.004032999999992626,0.0,0,False
145,0.0047089999999911925,0.0,0,False
146,0.006301000000007662,0.0,0,False
147,0.006549000000006799,0.0,0,False
148,0.00469399999997222,0.0,0,False
149,0.003054000000020096,0.0,0,False
150,0.009886999999991986,0.0,0,False
151,0.0025669999999990978,0.0,0,False
152,0.0013079999999945358,0.0,0,False
153,0.008712000000002718,0.0,0,False
154,0.008572000000015123,0.0,0,False
155,0.0009499999999889042,0.0,0,False
156,0.01029900000003181,0.0,0,False
157,0.0016390000000114924,0.0,0,False
158,0.019724999999993997,0.0,0,False
159,0.007342999999991662,0.0,0,False
160,0.006258000000002539,0.0,0,False
161,0.013017000000047574,0.0,0,False
162,0.0020299999999906504,0.0,0,False
163,0.00561699999997245,0.0,0,False
164,0.012212999999974272,0.0,0,False
165,0.007365999999990436,0.0,0,False
166,0.0052609999999617685,0.0,0,False
167,0.010589000000038595,0.0,0,False
168,0.0033239999999636893,0.0,0,False
169,0.002334999999959564,0.0,0,False
170,0.0038339999999834617,0.0,0,False
171,0.0131539999999859,0.0,0,False
172,0.0005710000000362925,0.0,0,False
173,0.021231999999997697,0.0,0,False
174,0.005648999999948501,0.0,0,False
175,0.004592999999999847,0.0,0,False
176,0.004130999999972573,0.0,0,False
177,0.000638000000037664,0.0,0,False
178,0.007876000000010208,0.0,0,False
179,0.017873000000008687,0.0,0,False
180,0.03450899999995727,0.0,0,False
181,0.009859000000005835,0.0,0,False
182,0.007245000000011714,0.0,0,False
183,0.011936999999988984,0.0,0,False
184,0.013375999999993837,0.0,0,False
