episode,length,time,reward,delta
0,43.0,0.0032679999999345455,0.0,-0.0005325129266941588
1,12.0,0.0009929999998803396,0.0,-0.00031316588340695844
2,52.0,0.004086000000143031,0.0,-4.061230080044438e-05
3,111.0,0.009985999999798878,0.0,-0.0005379324530753362
4,23.0,0.001874000000043452,0.0,-0.0004316948108372045
5,19.0,0.0015280000000075233,0.0,-0.0004491119192845892
6,38.0,0.0028100000001813896,0.0,-0.0003885253297534841
7,73.0,0.005967999999938911,0.0,-0.00037790600554668996
8,36.0,0.003233000000136599,0.0,-0.0006297884722993462
9,37.0,0.0035940000000209693,0.0,-0.0001432358837742803
10,59.0,0.007303000000092652,0.0,-1.007709016985069e-06
11,31.0,0.002776999999923646,0.0,-0.00034863328678328787
12,34.0,0.0027130000000852306,0.0,0.00010440022587966766
13,35.0,0.002633999999943626,0.0,5.6204758860442115e-05
14,127.0,0.013821000000007189,0.0,-0.0003401154049920209
15,5.0,0.0006359999999858701,0.0,-0.0003841071015460778
16,30.0,0.0037909999998646526,0.0,8.93743179778561e-05
17,41.0,0.003531000000066342,0.0,-0.00030610386449281886
18,67.0,0.005272999999988315,0.0,-0.00031376995810495907
19,85.0,0.008250999999972919,0.0,9.676595347953904e-05
20,61.0,0.004386999999951513,0.0,-0.00029748446143718977
21,11.0,0.000849000000016531,0.0,0.00018497295440851022
22,46.0,0.0032810000000154105,0.0,9.396020329170088e-05
23,26.0,0.002208999999993466,0.0,-0.0005657781170633287
24,38.0,0.002656000000115455,0.0,-4.361823397835149e-05
25,15.0,0.0010870000000977598,0.0,0.00012613878848741032
26,41.0,0.0029220000001259905,0.0,0.00011352490963866929
27,16.0,0.0011549999999260763,0.0,-0.0002823929622944632
28,12.0,0.000931999999920663,0.0,-0.00065294048636296
29,45.0,0.003316000000040731,0.0,0.00011325606833422169
30,34.0,0.0024860000000899163,0.0,-0.00025088477910557844
31,39.0,0.0028170000000500295,0.0,-3.9256410580516354e-05
32,20.0,0.0014590000000680448,0.0,-3.559677307945672e-05
33,16.0,0.0011899999999513966,0.0,-0.00022244162981827358
34,21.0,0.0014989999999670545,0.0,-0.0004537548458087032
35,28.0,0.0020010000000638684,0.0,-3.203709577151106e-05
36,26.0,0.00187299999993229,0.0,-2.8656994100004468e-05
37,14.0,0.0010179999999309075,0.0,-0.0005169869409490718
38,47.0,0.0035559999998895364,0.0,-0.0005629597040761262
39,23.0,0.0017279999999573192,0.0,-2.5791294690004005e-05
40,39.0,0.002696999999898253,0.0,0.00027069803776567735
41,9.0,0.0007029999999303982,0.0,-2.3212165221003593e-05
42,22.0,0.0016159999997853447,0.0,0.00014650938559580807
43,18.0,0.001287999999931344,0.0,0.0001664756589676592
44,53.0,0.003918000000112443,0.0,0.00013185844703622726
45,12.0,0.0008909999999104912,0.0,-0.00017597339088114858
46,55.0,0.004257000000052358,0.0,-0.00039719389534338147
47,48.0,0.0036989999998695566,0.0,0.00013063723614944496
48,12.0,0.0009849999999005377,0.0,0.00014982809307089327
49,14.0,0.00141299999995681,0.0,0.00013484528376380393
50,59.0,0.004842000000053304,0.0,-0.000542246843856608
51,12.0,0.0010230000000319706,0.0,3.9745341216520906e-05
52,29.0,0.004048999999895386,0.0,-0.00015837605179303373
53,37.0,0.0027539999998680287,0.0,-9.759157068031134e-06
54,10.0,0.0009129999998549465,0.0,-0.0005668096250694115
55,62.0,0.006785999999920023,0.0,-0.00015834962612769164
56,48.0,0.0035139999999955762,0.0,-0.00015298092276020894
57,33.0,0.0033719999998993444,0.0,9.182510828008989e-05
58,26.0,0.002525999999988926,0.0,-0.00020636638881487866
59,52.0,0.003735000000006039,0.0,-0.00043379861986513995
60,58.0,0.005654999999933352,0.0,8.264259745208088e-05
61,77.0,0.005580999999892811,0.0,-6.962941024572783e-05
62,26.0,0.0020520000000487926,0.0,0.0001870109196440226
63,14.0,0.0030289999999695283,0.0,-0.0005101286625624705
64,41.0,0.004252999999835083,0.0,-0.0001294817527244252
65,15.0,0.0015260000000125729,0.0,-0.000289930674263586
66,27.0,0.00431599999978971,0.0,7.615173484025391e-05
67,27.0,0.002353999999968437,0.0,-9.540698739432144e-05
68,45.0,0.003958999999895241,0.0,-0.0002178920724792706
69,96.0,0.008199999999987995,0.0,-0.0002778320466356359
70,11.0,0.0008679999998548737,0.0,0.00011312427299096472
71,23.0,0.0017880000000332075,0.0,-0.00013932274211905966
72,59.0,0.005382000000054177,0.0,-5.7493718830253825e-05
73,52.0,0.004250000000183718,0.0,-2.8660631448155984e-05
74,25.0,0.0028800000000046566,0.0,-3.1225702621986485e-05
75,26.0,0.0020010000000638684,0.0,0.00021090974615913414
76,22.0,0.0016290000000935834,0.0,0.00020315432184317322
77,25.0,0.002445999999963533,0.0,-0.0004880221594709472
78,76.0,0.005842000000029657,0.0,-0.0003053524608950773
79,12.0,0.0009159999999610591,0.0,-2.8103132359787815e-05
80,12.0,0.001086999999870386,0.0,0.0001828388896588559
81,19.0,0.0014119999998456478,0.0,0.00012877336670240032
82,12.0,0.0009159999999610591,0.0,-0.00027809748443872166
83,74.0,0.005175000000008367,0.0,-0.0003904187578786259
84,80.0,0.005586999999877662,0.0,-9.686690096599428e-05
85,11.0,0.0009539999998651183,0.0,0.00011589603003216029
86,77.0,0.005272999999988315,0.0,-0.00030664327804002476
87,25.0,0.001795000000129221,0.0,-0.00012539046790715374
88,4.0,0.00035299999990456854,0.0,0.00019475098361282402
89,9.0,0.0007590000000163855,0.0,5.6804577560124435e-06
90,24.0,0.0017080000000078144,0.0,2.5607290235712336e-05
91,20.0,0.0014439999999922293,0.0,0.00014454819438880934
92,18.0,0.001374999999825377,0.0,0.00013009337494992838
93,39.0,0.0027250000000549335,0.0,-0.00013109920723447359
94,40.0,0.0028269999997974082,0.0,2.28346736760454e-05
95,66.0,0.004609999999956926,0.0,2.3046561212141086e-05
96,28.0,0.0019850000001042645,0.0,-0.0006756199605092708
97,70.0,0.004873999999972511,0.0,0.00022995237795433906
98,50.0,0.0036199999999553256,0.0,0.00015934252159871358
99,7.0,0.0005739999999150314,0.0,0.00020695714015890514
100,26.0,0.0019270000000233267,0.0,-9.73701319866916e-06
101,53.0,0.0037029999998594576,0.0,-0.0001805592165254026
102,12.0,0.0011750000001029548,0.0,0.0001631435334679571
103,22.0,0.0016279999999824213,0.0,-7.303684322079946e-05
104,65.0,0.004752000000053158,0.0,0.00014959593913403972
105,11.0,0.0010030000000824657,0.0,0.00021018061603952332
106,20.0,0.0022450000001299486,0.0,0.00018916255443557098
107,41.0,0.0034439999999449356,0.0,0.0001935231955281331
108,36.0,0.0026669999999739957,0.0,0.00017417087597531978
109,17.0,0.001978000000008251,0.0,-0.00044296872935607523
110,79.0,0.006679000000076485,0.0,-2.487956350462117e-05
111,10.0,0.0008100000000013097,0.0,0.00019279418722604577
112,11.0,0.001138000000082684,0.0,0.00018700810536148317
113,28.0,0.00286099999993894,0.0,0.00018265882872815637
114,29.0,0.002246000000013737,0.0,-0.0002502877359948495
115,4.0,0.00040500000000065484,0.0,0.00022539931345346733
116,18.0,0.00151400000004287,0.0,0.00016439294585534074
117,21.0,0.0019010000000889704,0.0,-8.462748044956857e-05
118,12.0,0.0015069999999468564,0.0,0.00020035682639568808
119,101.0,0.008199000000104206,0.0,0.0001500156959521969
120,10.0,0.0014690000000427972,0.0,0.0002119718077485566
121,25.0,0.0023479999999835854,0.0,0.0002238735549378596
122,43.0,0.003629999999930078,0.0,0.00014020794629555488
123,26.0,0.0026830000001609733,0.0,-6.573315889871949e-05
124,27.0,0.0019980000001851295,0.0,0.00022454169491587086
125,8.0,0.0006490000000667351,0.0,0.00020208752542428377
126,118.0,0.008945000000039727,0.0,-0.00026887657987930324
127,25.0,0.0018310000000383297,0.0,-8.980204017014503e-05
128,32.0,0.0026819999998224375,0.0,-3.3647616074995745e-05
129,27.0,0.002632000000176049,0.0,0.00022441616583631838
130,18.0,0.0013539999999920838,0.0,0.00023113653854428285
131,19.0,0.0014490000000932923,0.0,0.00022364589793809992
132,39.0,0.003363000000035754,0.0,0.00015056486674598862
133,15.0,0.0017709999999624415,0.0,5.297925418896126e-05
134,75.0,0.005576000000019121,0.0,-0.0002217511324322799
135,13.0,0.0013229999999566644,0.0,0.00020128130814428994
136,128.0,0.010189999999965949,0.0,-0.00016109719332346284
137,13.0,0.0010400000001027365,0.0,0.00023306416052827557
138,19.0,0.0014519999999720312,0.0,2.938867634838451e-06
139,20.0,0.001698000000033062,0.0,0.00021998438783980514
140,8.0,0.000730999999859705,0.0,0.000209757744475448
141,49.0,0.003794000000198139,0.0,0.00020280102371377637
142,17.0,0.001491999999871041,0.0,0.00023006661903217563
143,18.0,0.0017269999998461572,0.0,0.00020705995712895806
144,16.0,0.001191999999946347,0.0,0.00018252092134239873
145,13.0,0.0011099999999260035,0.0,2.644980871354622e-06
146,25.0,0.0020600000000285945,0.0,2.380482784219138e-06
147,41.0,0.004210999999941123,0.0,0.0001833589409237809
148,28.0,0.002028999999993175,0.0,-0.000587646437726664
149,25.0,0.002003000000058819,0.0,-7.616473240461171e-05
150,30.0,0.0029210000000148284,0.0,-0.0001449874739911166
151,5.0,0.0006190000001424778,0.0,0.00019661304491818822
152,8.0,0.0006450000000768341,0.0,-0.000196258009806796
153,15.0,0.0011890000000676082,0.0,-6.416495142976203e-05
154,32.0,0.0028449999999793363,0.0,-0.0003221167328781233
155,91.0,0.007503000000042448,0.0,0.00015174993536207828
156,37.0,0.003101999999898908,0.0,-9.573853539345011e-05
157,13.0,0.0013290000001688895,0.0,-6.854825916415057e-05
158,63.0,0.0046729999999115535,0.0,-0.0004142577675868068
159,20.0,0.0014920000000984146,0.0,3.312063240316779e-05
160,23.0,0.0018259999999372667,0.0,-4.439500692989348e-05
161,20.0,0.0016460000001643493,0.0,0.00025379535585182345
162,19.0,0.001587999999856038,0.0,0.00025258064827176133
163,13.0,0.0010759999997844716,0.0,-5.774845628678585e-05
164,34.0,0.0033310000001165463,0.0,0.00024163732123383514
165,28.0,0.0024730000000090513,0.0,0.0001654453149301172
166,4.0,0.000578000000132306,0.0,0.00021747358911045162
167,12.0,0.0012750000000778527,0.0,-2.8275633806873165e-05
168,11.0,0.0020039999999426072,0.0,2.9808569162851e-05
169,19.0,0.0017970000001241715,0.0,0.0002214916844090659
170,8.0,0.0008749999999508873,0.0,0.00025289245218063484
171,19.0,0.0015350000001035369,0.0,0.00024055999397515316
172,16.0,0.0018600000000787986,0.0,0.0001489007834371055
173,23.0,0.0020600000000285945,0.0,7.247225365392308e-05
174,32.0,0.0025300000002062006,0.0,0.0002959446775183319
175,9.0,0.0007849999999507418,0.0,0.00022895768891224676
176,9.0,0.0020959999999377033,0.0,0.00023362643265784316
177,18.0,0.0022690000000693544,0.0,3.0443433067191652e-05
178,9.0,0.0007600000001275475,0.0,0.00022104779583018752
179,22.0,0.0020010000000638684,0.0,0.00016914099343684402
180,21.0,0.0017880000000332075,0.0,0.00022184264331088772
181,60.0,0.005698999999822263,0.0,-0.0004522478999278176
182,53.0,0.0042140000000472355,0.0,-0.0003761103656643243
183,18.0,0.0017169999998714047,0.0,0.000225809429957234
184,28.0,0.0023240000000441796,0.0,0.0002032284869615106
185,7.0,0.0005969999999706488,0.0,0.0002563010076018558
186,25.0,0.001878000000033353,0.0,0.0002404297514715886
187,132.0,0.011029000000007727,0.0,0.00026375755516229167
188,48.0,0.004592000000002372,0.0,-0.00016084553843983364
189,17.0,0.0012799999999515421,0.0,-3.272426841176973e-05
190,10.0,0.0009049999998751446,0.0,-2.945184157059278e-05
191,15.0,0.0011770000000979053,0.0,0.0001629864416368999
192,7.0,0.0006409999998595595,0.0,0.00021638677632442976
193,20.0,0.0019250000000283762,0.0,0.0002245856827569619
194,14.0,0.0011810000000878063,0.0,0.0002682062739859768
195,9.0,0.0007949999999254942,0.0,0.00024138564658737912
196,56.0,0.004102000000102635,0.0,-1.9717524035413466e-05
197,10.0,0.001040999999986525,0.0,0.00027661352576285224
198,15.0,0.0011400000000776345,0.0,0.00016583834804736837
199,30.0,0.0023189999999431166,0.0,0.00024895217318656707
200,55.0,0.004320000000006985,0.0,0.00022791236025300238
201,17.0,0.0013460000000122818,0.0,-0.0001368761094773712
202,43.0,0.003292000000101325,0.0,-0.0003384237101315372
203,9.0,0.0007430000000567816,0.0,0.00024255735378012587
204,30.0,0.0024399999999786814,0.0,0.00014925451324263153
205,13.0,0.0010870000000977598,0.0,0.0002496265157018319
206,15.0,0.0013019999998959975,0.0,0.00022466386413164867
207,12.0,0.0009739999998146232,0.0,-0.0003196692730540898
