params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""discount_factor"": 0.0}",3.983457999999999,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.1}",4.029952999999992,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.2}",4.033635000000004,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.3}",4.050510000000003,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.4}",4.087997000000001,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.5}",4.079893999999996,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.6}",4.110044000000002,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.7}",4.168294000000003,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.8}",4.21678,100,0.0001231459892540378,0.0,0.0,0.0040650406504065045,0.0006168641813260556
"{""discount_factor"": 0.9}",4.459374999999994,100,0.0010937150783503693,0.0,0.0,0.008771929824561403,0.002300236291241386
