episode,length,time,reward,delta
0,103.0,0.007426000000009481,0.0,0.00047471975577954005
1,36.0,0.0026889999999752945,0.0,0.0006691445624385136
2,24.0,0.0018049999999902866,0.0,0.00032334886813371617
3,12.0,0.000918000000012853,0.0,-5.389964257205388e-05
4,12.0,0.000990999999999076,0.0,0.00023735987788977002
5,40.0,0.002838999999994485,0.0,-2.6949821286026887e-05
6,18.0,0.0012929999999755637,0.0,0.0005953918469951284
7,24.0,0.0019460000000321998,0.0,-1.3474910643013443e-05
8,19.0,0.0014209999999934553,0.0,0.00016332331381076865
9,25.0,0.0017960000000130094,0.0,-7.781683144120872e-05
10,21.0,0.0015819999999848733,0.0,7.074286935138043e-05
11,13.0,0.00102100000003702,0.0,0.00057949442177565
12,15.0,0.0012300000000209366,0.0,0.0003345722812192568
13,15.0,0.0015179999999759275,0.0,-0.00027918365783478
14,46.0,0.0035579999999981737,0.0,1.7494395124404392e-06
15,15.0,0.0012150000000019645,0.0,0.00011649444652761412
16,36.0,0.0026040000000193686,0.0,-0.00023679843396040584
17,27.0,0.0020279999999957,0.0,8.287913945210232e-05
18,23.0,0.0016789999999673455,0.0,3.537143467569027e-05
19,80.0,0.005930999999975484,0.0,1.768571733784519e-05
20,22.0,0.0018119999999726133,0.0,-3.890841572060436e-05
21,11.0,0.0008839999999850079,0.0,0.0001708443746693967
22,17.0,0.001255000000014661,0.0,0.00021462517756602728
23,37.0,0.0026659999999765205,0.0,6.240646051729941e-05
24,17.0,0.0012849999999957618,0.0,-0.00010032453158306635
25,13.0,0.0009860000000116997,0.0,-0.00024326698035807772
26,32.0,0.0024080000000026303,0.0,8.747197562202196e-07
27,36.0,0.0026149999999915963,0.0,0.00019198916548723714
28,26.0,0.0018929999999954816,0.0,-0.00012163349017903886
29,86.0,0.006045999999969354,0.0,1.7423603074724517e-05
30,6.0,0.0004900000000134241,0.0,0.0003373633838509008
31,22.0,0.0016570000000228902,0.0,0.00016728614060962843
32,11.0,0.000876000000005206,0.0,-0.00021413945315706912
33,40.0,0.0027729999999905885,0.0,-8.340552329920761e-05
34,5.0,0.0004610000000297987,0.0,0.00016868169192545037
