steps,time,reward,delta,converged
1,0.0012669999999985748,0.6666666666666666,0.3333333333333333,False
2,0.0010340000000041982,1.1266666666666665,0.13,False
3,0.0010209999999943875,1.4974666666666665,0.078,False
4,0.0009399999999999409,1.7913436666666664,0.05265,False
5,0.0009360000000100399,2.0311800766666663,0.03538349999999996,False
6,0.0009519999999980655,2.2323071509666663,0.024794099999999986,False
7,0.000968000000000302,2.4033800294116663,0.01942245540000001,False
8,0.0009560000000021773,2.5508819161939966,0.015089390207999986,False
9,0.0009589999999946031,2.6795569235916474,0.01171215738279005,False
10,0.0011130000000036944,2.792733407575706,0.00944136580859102,False
11,0.0010230000000035488,2.8928022884792632,0.007658333310526913,False
12,0.0009359999999958291,2.9814983770185632,0.006165888977370401,False
13,0.0009349999999983538,3.06014724923699,0.0051228527770079135,False
14,0.0011219999999951824,3.129894801183921,0.004244414964388328,False
15,0.0009390000000024656,3.191860422897377,0.003495332361264175,False
16,0.0009390000000024656,3.246839758144043,0.003019570238314756,False
17,0.0009409999999974161,3.2955252994958,0.0027077320083783753,False
18,0.0009449999999873171,3.338523607047404,0.0023850191840653727,False
19,0.0010390000000057853,3.376381450350258,0.0020875995280356073,False
20,0.0011499999999955435,3.4096144015081262,0.0018020005800950915,False
21,0.0009459999999990032,3.438717793004764,0.0015381761904199008,False
22,0.0009130000000112659,3.46415294486198,0.0013127806480078413,False
23,0.0009119999999995798,3.4863015882721076,0.0011158089967912184,False
24,0.0009580000000113387,3.5055163754607306,0.0009408474573520918,False
25,0.0010000000000047748,3.5221216788088534,0.0007880965366398734,False
26,0.001097000000001458,3.536415164820256,0.0006635709501503773,False
27,0.0019500000000078899,3.548669871782142,0.0005558610633529977,False
28,0.0012120000000095388,3.5591425614422008,0.00046665324912531503,False
29,0.0009860000000116997,3.568064613737427,0.0003936660004391721,False
30,0.0009409999999974161,3.575652670806036,0.000330248160638192,False
31,0.0009759999999943147,3.5820974265679872,0.0002781214747130927,False
32,0.0009199999999935926,3.587555463501677,0.0002412264517709763,False
33,0.0009210000000052787,3.5921707161027467,0.00021318481006693448,False
34,0.0009210000000052787,3.596070706996952,0.0001867985806430295,False
35,0.0009230000000002292,3.5993610547559634,0.0001627328406883198,False
36,0.0009830000000050632,3.602131201990458,0.00014124779893645925,False
37,0.000922000000002754,3.6044581849962176,0.00012200242930261469,False
38,0.0009139999999945303,3.6064086412741374,0.00010482426605419592,False
39,0.0009189999999961174,3.6080400751363637,8.959726987954435e-05,False
40,0.0010520000000013852,3.6094019655457465,7.620756741163071e-05,False
41,0.0009689999999977772,3.6105367376394994,6.452682722781541e-05,False
42,0.0009289999999992915,3.6114806336624925,5.441233528221453e-05,False
43,0.0009600000000062892,3.612264500765062,4.571286010253764e-05,False
44,0.0009569999999996526,3.6129145026462886,3.827540007466778e-05,False
45,0.0009760000000085256,3.613452758396439,3.19509006423014e-05,False
46,0.0009490000000056398,3.6138979114485794,2.6598411419012646e-05,False
47,0.000981999999993377,3.6142656321912163,2.2087737671662097e-05,False
48,0.0009880000000066502,3.614569058589581,1.8300849475842706e-05,False
49,0.0009809999999959018,3.6148191797696283,1.5132352666044971e-05,False
50,0.0010159999999928004,3.615025167852318,1.2489297843807853e-05,False
51,0.0009749999999968395,3.6151946634061494,1.0290553408742048e-05,False
52,0.0009139999999945303,3.6153340197663066,8.465916292519325e-06,True
